Complexity,Loss,Equation
1,28.686113,"25.06456"
3,7.6995683,"x0 + 22.11455"
5,6.138284,"(x0 * 1.3571063) + 21.061085"
7,6.1382833,"((x0 * 1.3571196) - -10.397312) + 10.663734"
9,2.5917768,"((-2.463395 / (6.924523 - x0)) + 21.675016) + x0"
