SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,-15.626673442142758,0.8414995330736139,-0.011612704605595945,0.00011891904668586823,0.0,1.7651412793169958,0.10179303626837284,0.001424958992979267,4.423186332291723e-06,8.460769452618673e-06
II-other,-1600.392128452161,125.15368232457779,-2.699559963191633,0.007895882692511623,0.00022112832125062236,678.3132361040896,52.3082994466336,1.2567422888729367,0.009938606507464755,1.920285333488436e-05,3.103147248233653e-05
Ib,952.2228616211128,-81.27363526612521,1.9384441777607728,-0.004002367938432933,3.9829936774648125e-08,527.1065661170678,33.611647322735934,0.5671727842653792,0.001692676245461079,1.6875959439400418e-08,3.839925582654793e-05
Ic,0.0,2.3120759907570614,-0.15943157506274136,0.003027619536076835,-9.03607456266855e-06,0.0,0.24576183078895247,0.016241902717590705,0.0003063338517917112,1.1662066942313366e-06,1.2687859165625133e-06
Long-GRB,0.0,0.0,1.3951416812954591,-0.011098599650137167,3.7327685252145416e-05,0.0,0.0,0.6475726891963562,0.002987892916340172,2.9509751635779907e-06,4.3681532692413855e-06
Pair-Instab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low-mass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
