SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,0.0,-225.62724606956655,4.93573262382064,0.0,0.0,0.0,0.0,0.0,1.5078019882537206
II-other,0.0,0.0,0.0,-13635.255646034602,426.874005753664,0.0,0.0,0.0,0.0,0.0,202.40446616652466
Ib,0.0,0.0,0.0,-995.0772007610167,77.58585962089484,0.0,0.0,0.0,0.0,0.0,81.8121987116257
Ic,0.0,0.0,-629930.9903511562,36178.52089490946,34.3763248995917,0.0,0.0,0.0,0.0,1.6482689097919467,189.5672663796053
Long-GRB,0.0,0.0,0.0,5465.408306325748,26.146029420507777,0.0,0.0,0.0,0.0,0.0,19.122591074014082
Pair-Instab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low-mass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
