Complexity,Loss,Equation
1,7.405431,"47.381817"
3,6.5204372,"x0 + 44.43182"
5,3.8862875,"(x0 * 0.5361412) + 45.8002"
6,0.9305791,"(x0 + 44.54315) - log(x0)"
8,0.5767475,"(x0 + 44.579086) - (log(x0) * 1.3227404)"
10,0.54657656,"((x0 / 0.93373793) + 44.38047) - (log(x0) * 1.4191252)"
