mtl,Ia,Err_Ia,IIP,Err_IIP,II-other,Err_II-other,Ib,Err_Ib,Ic,Err_Ic,Long-GRB,Err_Long-GRB,Pair-Instab,Err_Pair-Instab,Low-mass,Err_Low-mass
em5,2.0076749382645166e-07,1.4196405784743225e-07,1.2207345375587172e-06,6.103672756472508e-07,1.0653672248248482e-06,4.0267097136995495e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0915542232455075e-06,7.394761226737419e-07
em4,1.548088569437275e-07,1.548088569437275e-07,3.0964467723241527e-06,6.601646934296523e-07,1.2401454674520973e-06,4.6873094674993484e-07,1.8897682690741283e-07,1.8897682690741283e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001,0.0,0.0,0.00010516272509173444,6.4479396597975845e-06,8.475310064731258e-06,1.2634246689744616e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002,0.0,0.0,9.17581034947407e-05,6.554150102455216e-06,5.904982023978834e-06,1.0965276760948175e-06,4.5560990042380393e-07,3.221648654016742e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.1869138082270206e-07,2.2534883398299017e-07
003,0.0,0.0,7.73251729953378e-05,5.624578551792286e-06,4.257289924225171e-06,7.905589557726969e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5276499281481114e-06,7.638249297345944e-07
004,1.6899417932396315e-07,1.1949693650798449e-07,7.833958128383983e-05,5.938908038098671e-06,2.838591139814627e-06,7.096477677839262e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.219947820501867e-06,5.45577221618916e-07
006,0.0,0.0,3.6758846600681794e-05,4.3320719304573716e-06,1.0731538350172948e-06,5.365769106407551e-07,1.6525983846168003e-07,1.6525983846168003e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.8353324623014528e-07,1.8353324623014528e-07
008,0.0,0.0,4.160853659776156e-05,5.463468238882874e-06,1.2118520864794001e-06,4.947365297968999e-07,3.360139151738387e-07,3.360139151738387e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.7395628641528164e-07,2.644270241120708e-07
010,0.0,0.0,1.7647058055941455e-05,2.2974512290367892e-06,8.627795129125988e-07,4.981259857142347e-07,5.88938510936569e-07,4.164424345634095e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.6525983846168003e-07,1.6525983846168003e-07
014,8.048081152113649e-07,2.6826937631571646e-07,4.489397485307518e-05,4.706167188672264e-06,2.5981719868565025e-06,8.216141222545258e-07,7.393268146963005e-07,4.2685051922638964e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
020,0.0,0.0,4.649680217201213e-06,9.118773191155144e-07,2.0743228189565913e-06,7.840203102803831e-07,1.904230401851364e-07,1.904230401851364e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.534201691314617e-07,3.9132715699204997e-07
030,1.938091995141928e-15,1.3704381055935685e-15,3.4281189914527707e-06,7.148122167166146e-07,2.947982858839815e-07,2.0845386713155887e-07,1.4951629434907078e-06,8.632327251219532e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.1887660100870108e-07,2.1887660100870108e-07
040,4.1918972195200884e-07,2.9641191090310863e-07,3.2629900000741735e-06,7.485812308196939e-07,2.947982858839815e-07,2.0845386713155887e-07,7.1645068976989e-07,7.1645068976989e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0753369319257267e-06,6.208460583930176e-07
