mtl,Ia,Err_Ia,IIP,Err_IIP,II-other,Err_II-other,Ib,Err_Ib,Ic,Err_Ic,Long-GRB,Err_Long-GRB,Pair-Instab,Err_Pair-Instab,Low-mass,Err_Low-mass
em5,0.0,0.0,0.0001809047886090119,9.58793462799601e-06,7.10871256633793e-05,3.8216672769458585e-06,3.9566799012349117e-07,2.797795201333355e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.5869870987994847e-07,1.829276137764323e-07
em4,0.0,0.0,0.00017143096610316346,9.297149836530804e-06,5.3585939210967784e-05,3.444634688037033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1018148150244498e-06,6.613091337678289e-07
001,0.0,0.0,0.0001524004435808135,8.453655971469411e-06,3.819084076154135e-05,2.7072768283013965e-06,3.743382752160323e-06,9.079037105700501e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.969338477674884e-06,1.1985781728458705e-06
002,0.0,0.0,0.00014870930304955278,8.21109709621759e-06,3.4139679409673526e-05,2.5236776715751693e-06,3.268582457136413e-06,8.735654048763412e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0899074044644572e-05,1.3415832412834933e-06
003,0.0,0.0,0.00014861095811801218,8.156086304943087e-06,3.3689647125106074e-05,2.5466978961259827e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.273546399867988e-05,1.5008889685178663e-06
004,0.0,0.0,0.00011371709880383826,8.041012394400293e-06,2.4699389967532565e-05,2.183138181867263e-06,5.19807431154194e-07,2.3246495176036884e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.1738431435894778e-05,1.4789033522396521e-06
006,0.0,0.0,0.00014319262588260087,8.19918587594802e-06,2.3094474702004518e-05,2.2645994601968073e-06,2.824889420458271e-06,7.834833415550494e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.002562954906536e-05,1.3164296882177221e-06
008,0.0,0.0,0.000111666636914649,8.165873231151843e-06,1.1993819127180297e-05,1.617246206944295e-06,9.465591138484904e-07,3.8643112066852344e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.423025688762837e-07,3.423025688762837e-07
010,0.0,0.0,0.00014178325103634984,7.963341232856853e-06,1.6624803038014807e-05,1.8248090900105932e-06,5.552507267837387e-06,1.3087385376723675e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
014,3.521109165377534e-17,3.521109165377534e-17,0.0001437055107557898,8.084067119681047e-06,9.335165404528024e-06,1.3201917220017912e-06,6.024317485086619e-06,1.3146138717838978e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2770224877360006e-06,5.213422107548754e-07
020,0.0,0.0,0.00014178597225747715,8.02705002649381e-06,6.836997112893232e-06,9.57371069631477e-07,6.1468281664237884e-06,1.2547159850624552e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.079251320227642e-06,1.026417135768906e-06
030,0.0,0.0,6.411811536497236e-05,4.860782109429663e-06,3.35797489771474e-06,6.585530810100999e-07,1.7224771341231115e-06,8.612385561766713e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.1283149371528539e-07,2.1283149371528539e-07
040,0.0,0.0,2.0818466032411703e-05,2.524609853084537e-06,1.2442103299295572e-06,4.3989476711354195e-07,2.106738157136805e-06,7.448444397615252e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
