,id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume,snr_err,snr_solar_err,snrd_err
0,289095.0,1.363581,2714869696213563.5,0.00029245889463075527,2.3142523159962334e-10,582281353598.4684,5213663.7,0.0095216669679447,5.022638846725463e-16,4.467871502239321e-05,3.519327464042819e-11,88954663844.72725
1,280905.0,0.9994286,1452384836876616.0,0.0003995606544487696,3.1275536268893786e-10,580647617982.8055,35000164.54,0.0095216669679447,6.881293267625213e-16,6.995413083439285e-05,5.7477698162809075e-11,101658406514.23735
2,453485.0,6.3419194,8181970303072693.0,0.006368073719744433,5.2479612722842334e-09,8215713063576.085,141780062.9,0.0095216669679447,7.751090709310358e-16,0.00024641519103325,2.1401357085606258e-10,317910343556.2482
3,421352.0,0.16869926,391348218370167.25,0.0,0.0,0.0,1058441.2,0.0095216669679447,4.310720020716467e-16,0.0,0.0,0.0
4,486579.0,2.7521312,3521611935266339.0,0.0006672768715044559,4.342873020050406e-10,853843811958.2654,18656383.8,0.0095216669679447,7.814975785490279e-16,7.27631381714315e-05,5.091060006881361e-11,93107311102.00957
5,373722.0,0.17850058,1135125073566735.5,0.0007347919139310888,5.668092671009024e-10,4672705967438.703,19816886.0,0.0095216669679447,1.572519047959394e-16,5.7150460488460534e-05,4.4159638473733985e-11,363432548321.8966
6,180671.0,3.1115077,5529315611038781.0,0.0020911659833875427,1.72382678721867e-09,3716113804641.397,53950097.1,0.0095216669679447,5.627292632361508e-16,0.00011757118531103718,9.847469327727143e-11,208930284938.27966
7,202219.0,0.25559464,748034251462222.0,6.176794310411636e-05,2.781946785117963e-11,180772715281.70074,3851512.4,0.0095216669679447,3.416884180107738e-16,3.432876973345298e-05,1.6154690610379605e-11,100468051955.95058
8,412610.0,2.618799,4212937203730464.5,0.0003827790087098439,2.7049174999758014e-10,615787590647.7622,8200294.4,0.0095216669679447,6.216088380527273e-16,6.434102812525233e-05,4.5471435799906297e-11,103507260815.03151
9,498679.0,0.5514343,3565165500331464.0,3.0621277645369107e-06,2.623420822517763e-12,19797448696.488598,10131078.14,0.0095216669679447,1.546728475715171e-16,1.539198877212024e-06,1.3400665331028387e-12,9951319196.475868
10,325479.0,5.0348964,3999139826804563.5,0.0029945711728850367,2.404230463505344e-09,2378541262871.944,96821008.6,0.0095216669679447,1.258994838403297e-15,0.00015700921317025285,1.327019427357405e-10,124709973687.72191
11,384137.0,1.5922092,2504200758319504.0,4.797304408927291e-06,3.397444278762956e-12,7545122424.06665,3923348.8,0.0095216669679447,6.35815317406295e-16,1.133086050095681e-05,7.81467635325868e-12,17820993283.362865
12,288594.0,4.9123235,3632397227843371.0,0.0008031716668191636,5.427865364860634e-10,593901956179.4473,20081439.0,0.0095216669679447,1.3523640703020105e-15,7.197512725015913e-05,4.9837708583871466e-11,53221709176.350426
13,491336.0,2.5838363,4401100343542501.5,0.0004365795057360517,2.670546963835596e-10,743634653897.5989,47059846.0,0.0095216669679447,5.87088704712476e-16,7.355634092211645e-05,4.8773778460928056e-11,125289995075.17409
14,468832.0,2.797957,2712771564614987.0,0.001952342334460238,1.6114413135534476e-09,1892902131561.6274,112986095.73,0.0095216669679447,1.0314016250008514e-15,0.0001336616101308578,1.1442323065836457e-10,129592204327.53094
15,335108.0,1.6898801,2660455464695136.5,0.00011044747196631284,8.168078873152996e-11,173882502287.9078,1352184.2,0.0095216669679447,6.351845097296695e-16,4.807981135537192e-05,3.5557146249284615e-11,75694244143.067
16,356154.0,1.2248589,4763356980646775.0,2.3651379938027857e-06,1.907468568972165e-12,9197791331.698212,1239935.5,0.0095216669679447,2.571419494647422e-16,2.824798166735689e-05,2.2781815398750087e-11,109853649807.65259
