Complexity,Loss,Equation
1,7.405431,"47.381817"
3,6.5204344,"x0 - -44.431816"
5,3.8862853,"(x0 * 0.53619415) + 45.8"
6,0.9305791,"(44.54315 - log(x0)) + x0"
8,0.60972977,"44.54315 + (x0 - (log(x0) * 1.4179747))"
10,0.5362794,"log(exp(x0) + 4.237924) + (43.838253 - log(x0))"
