Complexity,Loss,Equation
1,7.405431,"47.381817"
3,6.5204334,"x0 - -44.431686"
5,3.8862891,"(x0 * 0.536129) - -45.80024"
6,0.9305791,"(x0 - -44.54315) - log(x0)"
8,0.57674724,"(x0 + 44.579086) - (log(x0) * 1.3227346)"
10,0.54843163,"((x0 + 41.931213) - (log(x0) * 1.311943)) * 1.0587571"
