mtl,Ia,Err_Ia,IIP,Err_IIP,II-other,Err_II-other,Ib,Err_Ib,Ic,Err_Ic,Long-GRB,Err_Long-GRB,Pair-Instab,Err_Pair-Instab,Low-mass,Err_Low-mass
em5,0.0,0.0,90.916603,4.3894949,150.68587,4.5809851,1.3704873e-09,9.6908082e-10,0.0,0.0,23.529762,1.0024016,0.0,0.0,0.0,0.0
em4,0.0,0.0,82.880905,4.0882139,158.80482,4.7075238,0.0,0.0,0.0,0.0,17.516899,1.3166507,0.0,0.0,0.0,0.0
001,0.0,0.0,91.119141,4.3194618,177.35005,4.8126187,0.0,0.0,0.0,0.0,15.322276,0.56594115,0.0,0.0,0.0,0.0
002,0.0,0.0,79.012909,4.2173967,191.65021,5.0539374,0.40858769,0.18272597,0.0,0.0,13.275139,0.6548143,0.0,0.0,0.0,0.0
003,0.0,0.0,67.511833,4.1162691,200.46617,5.2285638,1.4770144,0.38136348,0.0,0.0,9.2567739,0.42927262,0.0,0.0,0.0,0.0
004,0.0,0.0,71.995201,4.439414,158.11874,4.7120962,4.0082126,0.70855856,0.57537538,0.21747145,8.3814564,0.38255939,0.0,0.0,0.0,0.0
006,0.0,0.0,49.991787,3.880115,172.84946,5.249928,11.357426,1.2391967,2.2806678,0.53755856,0.0,0.0,0.0,0.0,0.0,0.0
008,0.0,0.0,51.781921,4.0190563,132.73163,4.7223792,32.123474,2.0156062,4.7250466,0.78750777,0.0,0.0,0.0,0.0,0.0,0.0
010,0.0,0.0,58.398331,4.2145367,74.492867,3.7528963,124.70528,4.2134008,4.5649967,0.72178936,0.0,0.0,0.0,0.0,0.0,0.0
014,0.0,0.0,57.61705,4.4190264,58.291142,3.5474858,135.93706,4.3919272,7.7362795,0.93816173,0.0,0.0,0.0,0.0,0.0,0.0
020,0.0,0.0,83.824135,5.2390084,61.163868,4.3467269,154.74245,5.0073481,5.0344615,0.79601824,0.0,0.0,0.0,0.0,0.0,0.0
030,0.0,0.0,76.286087,5.7502799,74.555092,4.6237106,148.12068,5.2140951,0.52440482,0.26220241,0.0,0.0,0.0,0.0,0.0,0.0
040,0.0,0.0,0.56246728,0.28123364,107.71948,6.448997,145.75694,5.3873315,4.0855789,0.8339653,0.0,0.0,0.0,0.0,0.0,0.0
