mtl,Ia,Err_Ia,IIP,Err_IIP,II-other,Err_II-other,Ib,Err_Ib,Ic,Err_Ic,Long-GRB,Err_Long-GRB,Pair-Instab,Err_Pair-Instab,Low-mass,Err_Low-mass
em5,0.0,0.0,1.1625104633827429e-06,3.35587879540388e-07,2.7116288988375283e-07,1.355814422141958e-07,1.2219947942761477e-07,1.2219947942761477e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.397068245259074e-07,3.0198404394140683e-07
em4,5.127076365018653e-08,3.625390549306863e-08,6.613485805586639e-07,2.3382205004617416e-07,6.087883577355276e-07,2.722584355158851e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001,0.0,0.0,1.068922160288113e-05,1.9849386751939054e-06,6.83453267630418e-07,2.790186099827e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002,0.0,0.0,1.1070039636472187e-05,2.0556548310060036e-06,5.828920309829601e-07,2.3796467675457506e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2100153121077598e-07,1.2100153121077598e-07
003,0.0,0.0,1.4706090779828605e-05,2.145103769698218e-06,4.43810188999897e-07,2.219050917722679e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004,0.0,0.0,1.8305535358596167e-05,1.9189413522487435e-06,6.711952347201881e-07,2.373033396848285e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.629916589709705e-07,3.261801855608373e-07
006,0.0,0.0,5.294217993614172e-06,8.94886155340755e-07,7.398597382997778e-07,3.3087533124953084e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01559360439641e-07,1.4252398940525214e-07
008,0.0,0.0,2.1738117350492556e-06,4.036667119097954e-07,0.0,0.0,4.719649425397718e-07,3.337296034956209e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.055782377350388e-08,8.055782377350388e-08
010,1.7256811454861903e-07,9.963224864750685e-08,2.398237711035192e-06,4.796475203855937e-07,2.837761377264848e-07,1.6383823282957802e-07,1.4649874919478868e-07,1.4649874919478868e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
014,2.927956936688133e-07,1.309422139775955e-07,1.0355345861170222e-06,2.7675824654217387e-07,1.6025502067800103e-07,1.1331742040846252e-07,2.985813606019926e-07,1.7238603641388125e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.729097456317832e-07,1.729097456317832e-07
020,0.0,0.0,8.01477933718671e-07,2.671593039657421e-07,0.0,0.0,4.6178655332026374e-07,2.6661258403438364e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0419729488278392e-07,1.4438929195521891e-07
030,1.8452342401161949e-07,1.3047777180355115e-07,9.273827053703448e-07,3.278792905324607e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7902069393067067e-07,1.6109266956571834e-07
040,0.0,0.0,7.163534598337032e-07,2.707561490649074e-07,0.0,0.0,1.2100153121077598e-07,1.2100153121077598e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.896770218877819e-07,2.04832588058258e-07
