,id,sfr,sfrd,sn,snr,snr_no_mass,snrd,mass,z,halo_volume
0,2588.0,0.66091335,499527324509599.3,79619.02044031452,2.023002978053046e-09,0.0027146527743201502,1529013.243720663,337152373.05,1.4955121664955555,1.3230774725863856e-15
1,237092.0,9.20766,9205842174599006.0,129234.15882775915,3.090162456891265e-09,0.003988605662716533,3089552.3805192728,849295422.25,1.4955121664955555,1.0001974643239062e-15
2,133191.0,34.23071,2.120410366634712e+16,893378.2970604572,2.0793588133500613e-08,0.02672555280967135,12880521.566104596,4801134407.87,1.4955121664955555,1.6143436449203612e-15
3,119470.0,38.861725,3.242057303978377e+16,1064816.2021445732,2.4895234216919034e-08,0.03141453775508373,20768963.78820414,8241515862.64,1.4955121664955555,1.1986748337949547e-15
4,137020.0,0.29821426,959748244232329.1,64.96375827603407,3.2665886544303484e-12,3.7393849358358295e-06,10512.920226278828,4453769.84,1.4955121664955555,3.1072133946807243e-16
5,216341.0,13.320032,1.8720076890914108e+16,309445.0766258256,7.097519943212474e-09,0.00931292210438383,9974909.900496775,2869983708.35,1.4955121664955555,7.115372483574012e-16
6,174585.0,10.229747,1.350162660764228e+16,140792.30189008237,3.2676665291353694e-09,0.004192697836972773,4312796.138035106,376666668.75,1.4955121664955555,7.576677460632551e-16
7,98286.0,14.865337,5690016460810942.0,307336.0780129762,7.134602523188334e-09,0.00913843454364688,2730917.2875317186,1091072002.9,1.4955121664955555,2.612529700464415e-15
8,201441.0,2.961854,2420427901379497.0,80846.84948539616,1.7489919054661066e-09,0.0023282383356748805,1429276.6649797917,321227433.1,1.4955121664955555,1.2236902401893165e-15
9,122080.0,36.899982,6403020929808919.0,559870.6222706555,1.3674653060912059e-08,0.016971121886172863,2372876.218663074,2216199782.58,1.4955121664955555,5.762901980878139e-15
10,171702.0,17.090012,1.0125293315150558e+16,308640.83451441006,7.392930891054603e-09,0.009547260666068178,4380078.476865038,1848816831.58,1.4955121664955555,1.687853523653293e-15
11,56687.0,18.911127,2.5498330950867184e+16,474432.25036829675,1.1231843883890599e-08,0.013639693097373727,15144167.375107573,2871938193.96,1.4955121664955555,7.416613674220446e-16
12,34596.0,26.814112,1.7137574100548548e+16,660130.683114097,1.6294354151434804e-08,0.019905274896864517,10414131.994779272,3370338612.51,1.4955121664955555,1.5646387197323174e-15
13,175167.0,13.40013,6299667446394227.0,401212.706522826,9.579080462711558e-09,0.012401162498897738,4503316.113898518,2387715857.41,1.4955121664955555,2.1271170445147707e-15
