,id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume
0,109905.0,9.665311,8046914103520864.0,0.018907283693669036,1.4721013326349548e-08,15741375297065.496,407225645.21999997,0.7574413726158526,1.2011201903809337e-15
1,273468.0,17.59829,1.816334409248058e+16,0.04054059166696781,3.179037369132121e-08,41842287867735.29,1850155344.94,0.7574413726158526,9.688904152449269e-16
2,222980.0,3.2343884,1419555455147998.2,0.0026287038620882146,1.9387123650162693e-09,1153723809854.1091,82374400.55,0.7574413726158526,2.278451601359098e-15
3,237920.0,15.210063,6578131572214401.0,0.024977710985533034,1.9779034744545295e-08,10802497611981.05,550500700.7,0.7574413726158526,2.312216293186703e-15
4,49346.0,0.42640075,221445385954154.25,0.0005295161730716329,4.793831753330215e-10,274996967793.35986,24439912.26,0.7574413726158526,1.9255345879650776e-15
5,192294.0,4.7504463,3961182255004103.0,0.015191300947076235,1.2119546456742141e-08,12667338591320.441,440363808.78,0.7574413726158526,1.1992496164494404e-15
6,217716.0,3.13619,7977889859971722.0,0.005540508003963926,4.478003561540428e-09,14094032129404.14,177396425.16,0.7574413726158526,3.9311021523818285e-16
7,143205.0,0.5500925,460230238262615.75,0.002813194294254196,2.4285947354819492e-09,2353635216483.845,55817383.37,0.7574413726158526,1.195255014265506e-15
8,2.0,0.3595567,247194513637520.34,0.0009173455765080057,7.739441041194872e-10,630673252987.4347,31623131.0,0.7574413726158526,1.4545496771309604e-15
9,81766.0,1.7515738,2386247300072835.0,0.0007335970902947331,5.822617476359929e-10,999412115011.708,11522454.26,0.7574413726158526,7.340286146982909e-16
10,319423.0,1.9038202,2835424009491435.5,0.001474903183811945,1.082088784218056e-09,2196623346603.7124,51971909.68,0.7574413726158526,6.714410943926058e-16
11,155450.0,6.36157,1633834487509655.2,0.025147604446567322,1.9229199806940145e-08,6458629461446.285,879343576.67,0.7574413726158526,3.893644092246159e-15
12,93401.0,0.11351386,111557877409058.84,0.002067039298792499,1.5731694793924466e-09,2031421684492.1016,59005743.95,0.7574413726158526,1.0175333435555517e-15
13,61828.0,5.9927278,1552250700119912.8,0.0040588178008154644,3.413455085628605e-09,1051324702746.3802,132552479.48,0.7574413726158526,3.860670057702056e-15
