SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,0.0,0.0010132890251881776,7.821617541877216e-05,0.0,0.0,0.0,0.0,0.0,4.1607482721482785e-05
II-other,0.0,0.0,0.0,-0.002167811142677032,8.445241577475315e-05,0.0,0.0,0.0,0.0,0.0,1.9004705003916367e-05
Ib,0.0,0.0,0.0,0.0026458319977626875,-9.635860879891208e-06,0.0,0.0,0.0,0.0,0.0,1.295119506314841e-05
Ic,0.0,0.0,0.0,1.4377287738481918e-06,4.3802958146032114e-07,0.0,0.0,0.0,0.0,0.0,2.191992378929009e-07
Long-GRB,0.0,0.0,0.0,-0.00037813007757658265,2.6153827688133517e-06,0.0,0.0,0.0,0.0,0.0,1.3880374203504305e-06
Pair-Instab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low-mass,0.0,0.0,0.0,0.0006448914922144189,-8.61563972506634e-06,0.0,0.0,0.0,0.0,0.0,6.349737005852494e-06
