SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II-other,0.0,0.0,0.0,-5868.523819852098,107.96730296810142,0.0,0.0,0.0,0.0,0.0,106.13423765123036
Ib,0.0,0.0,-27892226.343507558,119680.76066928006,7.313355265775327,0.0,0.0,0.0,0.0,0.6387297292435726,40.74903535102897
Ic,0.0,0.0,0.0,1559.5191762992447,137.79611661972797,0.0,0.0,0.0,0.0,0.0,95.26652464601813
Long-GRB,0.0,0.0,0.0,192.90363446618258,3.251726382602627e-08,0.0,0.0,0.0,0.0,0.0,1.1412333112390105
Pair-Instab,0.0,0.0,0.0,-587.8579327308809,2.2973308199848668,0.0,0.0,0.0,0.0,0.0,0.6619696481033679
Low-mass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
