SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,0.0,-6678.688242016337,230.6189909732906,0.0,0.0,0.0,0.0,0.0,184.10097685570952
II-other,0.0,0.0,-397062.68470794003,2988.043080502119,10.930403094467767,0.0,0.0,0.0,0.0,1.8972496557910792,6.121657533637036
Ib,0.0,0.0,-23870.117498393858,971.8979292907848,5.567423325260112,0.0,0.0,0.0,0.0,1.9565591488736962,5.457602431229563
Ic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-GRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pair-Instab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low-mass,0.0,0.0,0.0,-174.3390083742612,11.819372832777233,0.0,0.0,0.0,0.0,0.0,8.8752521310888
