SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II-other,0.0,0.0,0.0,-66637.83144144148,69.58281523333336,0.0,0.0,0.0,0.0,0.0,4.2388799099960375
Ib,0.0,0.0,-20438943.096727308,86786.65029687746,0.2967266088926764,0.0,0.0,0.0,0.0,0.05099167800479412,11.9931058144489
Ic,0.0,0.0,0.0,1568.6016358457716,19.453096341766173,0.0,0.0,0.0,0.0,0.0,35.06347067198629
Long-GRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pair-Instab,0.0,0.0,0.0,-2963.4041696696727,3.3543562727777796,0.0,0.0,0.0,0.0,0.0,0.6364170117557421
Low-mass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
