SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,0.0,-0.0003872777832007847,0.00013736679301436916,0,0,0,0,0,2.7041515951062115e-05
II-other,0.0,0.0,0.0,-0.0036295039788473036,0.0001293972219059736,0,0,0,0,0,3.779451499469586e-05
Ib,0.0,0.0,0.0,0.0028373816396407795,2.6945446199638143e-07,0,0,0,0,0,4.189373603608714e-05
Ic,0.0,0.0,0.0,1.254170478430609e-05,9.406886148355154e-08,0,0,0,0,0,8.530517591342055e-07
Long-GRB,0.0,0.0,0.0,-0.00014942790886240652,3.992226556677326e-06,0,0,0,0,0,4.145258730115545e-06
Pair-Instab,0.0,0.0,0.0,0.0,-0.0,0,0,0,0,0,0.0
Low-mass,0.0,0.0,0.0,3.991373446922934e-05,-2.1952744760802247e-07,0,0,0,0,0,inf
