Complexity,Loss,Equation
1,27.480486,"18.602734"
3,6.280401,"21.55273 - x0"
5,4.641929,"22.631575 - (x0 / 0.732219)"
7,4.641928,"24.381449 - ((x0 / 0.73219293) + 1.749693)"
8,3.307898,"(log(x0) - (x0 * 1.7427104)) + 23.632345"
9,2.8365676,"37.006847 / ((x0 * (x0 * 0.030463327)) + 1.6779829)"
