,id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume,snr_err,snr_solar_err,snrd_err
0,1130.0,0.14212053,7733809739025246.0,0.00010105220304794502,5.846148167755024e-11,5498983940477.521,6874977.9,11.980213315300292,1.837652267068993e-17,0.0001830916796034507,1.087876188410036e-10,9963347412591.672
1,3070.0,0.10222784,1.1094679979312044e+16,0.0,0.0,0.0,3770969.4000000004,11.980213315300292,9.214131474780846e-18,0.0,0.0,0.0
2,139.0,0.17022695,4358592105403722.0,1.345579489652635e-06,8.936576896528688e-13,34453017814.119,7763707.99,11.980213315300292,3.905548991128465e-17,1.6159117306242235e-06,1.0731970537432936e-12,41374765347.83715
3,1367.0,0.14572513,5776942101791669.0,0.0,0.0,0.0,2176260.2,11.980213315300292,2.5225305608447177e-17,0.0,0.0,0.0
4,296.0,0.25230712,5570137442037552.0,8.6538727514851e-06,4.5686448729590795e-12,191049941958.33908,8177171.9,11.980213315300292,4.529639037195934e-17,3.5264490015195323e-06,1.8617205976109406e-12,77852759846.0158
5,476.0,0.33654997,1.4444503118644936e+16,2.6202168863707798e-05,1.4715143422865233e-11,1124579835401.8232,14503096.66,11.980213315300292,2.329951866364873e-17,7.1753269273486545e-06,4.023006746396457e-12,307960307289.2404
6,438.0,0.28015655,6037872330449401.0,0.00011521105058419432,5.943419665477116e-11,2483003215467.6133,5494738.05,11.980213315300292,4.6399879736964866e-17,0.000130280428636,6.720807228609868e-11,2807775135938.789
7,1086.0,0.110905774,4042464962029565.5,0.0,0.0,0.0,6626928.9,11.980213315300292,2.7435184977909737e-17,0.0,0.0,0.0
8,1318.0,0.25842223,1.2336602328174126e+16,0.0,0.0,0.0,4574515.4,11.980213315300292,2.0947601545834026e-17,0.0,0.0,0.0
9,239.0,0.18098171,3641311201990936.5,1.76307173260412e-06,1.0231992919053256e-12,35472605766.8753,5232723.1,11.980213315300292,4.9702346204588546e-17,4.7763055937139715e-06,2.7719306089679863e-12,96098191704.13771
10,710.0,0.10202509,4771052704143482.0,7.79962345643208e-07,4.497670933835421e-13,36473787558.63994,1734147.2,11.980213315300292,2.1384188422692335e-17,2.529958128966102e-07,1.4589062156696398e-13,11830975667.429949
11,172.0,0.11897039,5235147582676509.0,0.0,0.0,0.0,3407459.1,11.980213315300292,2.2725317313628718e-17,0.0,0.0,0.0
12,225.0,0.53474265,9811970905121354.0,1.286915202737261e-05,6.88235034387398e-12,236135541584.6549,35419977.24,11.980213315300292,5.4499004855476206e-17,5.1257456559160865e-06,2.699965994732166e-12,94052096354.9491
13,1954.0,0.13973023,5652493144376689.0,0.0001946800294967645,1.1670992279629203e-10,7875371936892.345,6164643.8,11.980213315300292,2.4720106054265426e-17,0.00018244511145727767,1.0395196584293488e-10,7380434010144.426
14,38.0,0.1926315,5543202698233832.0,2.5003904087537502e-06,1.690492101184556e-12,71951736140.98308,4600053.1,11.980213315300292,3.4750939210896256e-17,0.00012946303247008388,9.314226460080894e-11,3725454200946.902
15,696.0,0.10151537,6633243853352882.0,0.0,0.0,0.0,2220738.6,11.980213315300292,1.5304031065990042e-17,0.0,0.0,0.0
16,646.0,0.1673089,4775728656025738.0,5.5162230919694206e-06,4.463725511706606e-12,157457162729.2347,7493930.3,11.980213315300292,3.503316709354903e-17,5.294850004190989e-06,4.478481268216745e-12,151138205405.52777
17,608.0,0.13200457,4861701735167392.0,4.527099553687548e-06,3.819583551144268e-12,166732165071.54474,11598569.6,11.980213315300292,2.7151926874727325e-17,2.2852442850465565e-06,1.652418265915248e-12,84165086904.8868
18,845.0,0.22024156,8021982152134431.0,8.109175001146571e-05,3.974268004886184e-11,2953650397669.3813,13152011.16,11.980213315300292,2.7454755672997818e-17,6.15546158238997e-05,2.877747035225766e-11,2242038376048.621
19,493.0,0.33949247,9019948574429314.0,4.2289717249710115e-06,3.1423431715594205e-12,112359215160.0716,8350966.6,11.980213315300292,3.7637960704391205e-17,4.7763055937139715e-06,3.5490403445038507e-12,126901285413.07292
20,708.0,0.10496894,4110154551803319.0,0.0,0.0,0.0,1349570.1,11.980213315300292,2.5538927715977288e-17,0.0,0.0,0.0
21,3838.0,0.10529732,7507640689680491.0,0.0,0.0,0.0,2054528.9,11.980213315300292,1.4025354216103438e-17,0.0,0.0,0.0
22,796.0,0.123533234,4636227346615191.0,0.0,0.0,0.0,1373083.2,11.980213315300292,2.664520627751116e-17,0.0,0.0,0.0
23,297.0,0.12660293,1.1082980197220422e+16,0.0,0.0,0.0,5082990.5,11.980213315300292,1.1423184716305062e-17,0.0,0.0,0.0
24,24.0,0.3592741,2.0265144038197456e+16,4.691198895774543e-07,2.9016606343886596e-13,26461083984.262707,6135446.4,11.980213315300292,1.7728672410263148e-17,2.529958128966102e-07,1.5648622180749538e-13,14270431933.197132
25,2315.0,0.15010902,8619961725533433.0,7.501746501415685e-06,3.1118236916907665e-12,430785356648.5048,4419683.9,11.980213315300292,1.7414116765200688e-17,3.5264490015195323e-06,1.4628176983048998e-12,202505188696.48178
26,209.0,0.18567163,4633176972279240.0,0.0,0.0,0.0,4960091.04,11.980213315300292,4.0074366058299065e-17,0.0,0.0,0.0
27,1529.0,0.11366241,1.0133927084564188e+16,0.0,0.0,0.0,1246183.2,11.980213315300292,1.121602800686503e-17,0.0,0.0,0.0
28,73.0,0.30841568,4009141417863693.0,0.0,0.0,0.0,3117451.0,11.980213315300292,7.69281119956956e-17,0.0,0.0,0.0
29,15.0,1.3674151,1.0189042532008016e+16,0.0008604548717051667,6.00211340610584e-10,6411521479232.929,49398411.49,11.980213315300292,1.3420447463089699e-16,0.0003015582604503583,2.4635672582540063e-10,2247006005423.701
30,276.0,0.11044752,8821103660135269.0,2.3635869562434252e-06,2.131060931082416e-12,188772419251.84793,1109112.8,11.980213315300292,1.2520827807424985e-17,1.6159117306242235e-06,1.456940836517461e-12,129057899004.56667
31,1656.0,0.1239522,8498930800182331.0,0.0,0.0,0.0,4861288.7,11.980213315300292,1.4584446316157886e-17,0.0,0.0,0.0
32,520.0,0.217451,8337320033523315.0,2.675453221614222e-06,1.6974026725815234e-12,102579936368.73936,8382520.7,11.980213315300292,2.6081642437336806e-17,7.979879841889813e-07,5.062719565072732e-13,30595771953.634056
