,id,sfr,sfrd,sn,snr,snr_no_mass,snrd,mass,z,halo_volume
0,4388.0,1.1154121,7039501605513385.0,5294.329883614634,1.7135804256191724e-10,0.00023278071072108816,1081461.4757471678,16961399.26,7.23627606616736,1.584504361965628e-16
1,31267.0,0.23135507,7393461404587948.0,1229.8536438199314,2.1022788851665717e-11,2.2944898231815746e-05,671829.573441344,1091429.8,7.23627606616736,3.129184793693988e-17
2,40490.0,0.16650063,7443533811465935.0,359.44181092920553,1.874838248526631e-11,2.801141831782082e-05,838160.3056959936,1494071.2,7.23627606616736,2.236849246839241e-17
3,18173.0,0.8868518,1.9658717461840636e+16,4587.245009645136,1.10235297042315e-10,0.00020326093247765678,2443570.119468605,17733583.8,7.23627606616736,4.511239360967775e-17
4,14701.0,0.6802212,7304219730019051.0,8379.381548639012,2.0964646004488878e-10,0.0003125880492778364,2251185.0700750393,37627014.6,7.23627606616736,9.312715459591271e-17
5,20926.0,0.3309806,7955597538688767.0,2283.3231471171975,7.491068856272748e-11,0.00010866645702438416,1800586.770194735,5997208.8,7.23627606616736,4.160348715359373e-17
6,9505.0,1.077247,8971604662208275.0,11380.117248599303,2.519118139006279e-10,0.00038313322176104493,2097989.786981274,35776745.14,7.23627606616736,1.2007294576161652e-16
7,61677.0,0.24163167,8441860362064968.0,1731.3051929372045,3.448406740701214e-11,4.991586318733816e-05,1204766.253389021,3003820.1,7.23627606616736,2.862303563866275e-17
8,11556.0,1.1797919,1.1858542960084934e+16,5891.6337058796635,1.536320198385247e-10,0.00020700048747867273,1544214.625731679,23145430.0,7.23627606616736,9.948877395571284e-17
9,967.0,7.080818,1.8269450279344172e+16,64210.892916284174,1.7779046282618358e-09,0.002400002477516745,4587229.922792182,215938447.25,7.23627606616736,3.875769599923717e-16
10,5172.0,1.7095388,6787755864132385.0,6772.21084345782,1.190390996479015e-10,0.00022227646140477478,472646.97747490887,25782228.0,7.23627606616736,2.5185625915532457e-16
11,8685.0,1.1701957,9450894194770898.0,7935.3137437924715,1.9305779098180136e-10,0.00025721536569000853,1559199.6757851695,35622043.86,7.23627606616736,1.2381851662750175e-16
12,3763.0,2.0333335,9070829644014650.0,20702.017713413978,4.2421796842942836e-10,0.0006170293747100996,1892463.2499062894,119121025.36,7.23627606616736,2.2416179994535413e-16
13,12945.0,0.58151215,6219561400821710.0,1090.635884325706,1.6056252265997186e-11,2.5547092628547537e-05,171729.5964245153,6490620.9,7.23627606616736,9.349729225652027e-17
14,1914.0,4.7488427,1.2719765804374594e+16,45574.615831316994,1.2667588109936693e-09,0.0017069638417690717,3393010.9764358997,146566432.65,7.23627606616736,3.7334356410609173e-16
15,38409.0,0.15525772,4569396260911955.0,831.3373473144599,2.9656063182662695e-11,5.163331790635476e-05,872808.7995896605,3473334.8,7.23627606616736,3.397773165967747e-17
16,10606.0,0.45937482,5260121994141288.0,928.758674447087,2.1862631774969993e-11,3.1248605511928334e-05,250340.47414556122,3323866.6399999997,7.23627606616736,8.733159050524886e-17
17,20639.0,0.35772496,6178752134050600.0,741.8382853371774,1.0044992373405846e-11,2.0405947168864396e-05,173500.66392824077,3936581.5,7.23627606616736,5.789598809581742e-17
18,507.0,8.539183,1.2831958830912394e+16,193805.29307740906,4.0885801081076145e-09,0.005404396206616926,6143970.872169416,649223072.99,7.23627606616736,6.654621568321254e-16
19,12871.0,0.95046383,9099655062941442.0,7791.636158932072,1.8406751304335804e-10,0.00024910587168130283,1762245.7837117622,38409600.3,7.23627606616736,1.0445053394065299e-16
20,19788.0,0.24438666,4742007446186680.0,1771.7396631833878,1.7434011397725687e-11,2.7055298020161952e-05,338284.4704572609,3085097.5999999996,7.23627606616736,5.1536540752698587e-17
21,4972.0,0.80610347,6394414585583485.0,2923.4735615199374,7.999277221944145e-11,0.00010530644261748362,634542.5475234013,4442891.5,7.23627606616736,1.260636856135977e-16
22,12989.0,0.31339923,3979965043937025.5,815.6316746039332,1.7304913634594875e-11,2.5148586297216235e-05,219761.07393128192,2359228.74,7.23627606616736,7.874421673060274e-17
23,7379.0,3.9935718,2.8734370369929264e+16,26400.614104145458,5.543002794028531e-10,0.0007947138959217543,3988276.741266266,98464623.37,7.23627606616736,1.389824015138088e-16
24,22852.0,0.14378187,4534405575466438.0,583.6620090401876,4.451514008265022e-12,9.075574041307205e-06,140386.05798035502,2038761.2,7.23627606616736,3.170908901002083e-17
25,2084.0,1.4967674,1.04168936238388e+16,11274.195942633092,2.7787181677013075e-10,0.0004122969941436115,1933875.0672664826,53856347.78,7.23627606616736,1.436865397736889e-16
26,5624.0,2.5918727,2.1894247755011936e+16,36663.321410922064,8.643245535849567e-10,0.0011237746282801936,7301182.6224834,129792923.15,7.23627606616736,1.1838144561996564e-16
27,9162.0,0.44141838,3819243359114945.5,1633.5564249758713,4.2019876191240894e-11,6.388127512917176e-05,363564.6823184594,4549999.46,7.23627606616736,1.1557744257027192e-16
28,30306.0,0.2565279,5694554315908026.0,1114.0048239143905,4.199377020657898e-11,5.327062515176236e-05,932201.9373764967,2529724.6,7.23627606616736,4.504793277383909e-17
29,8550.0,0.63959765,4779323789238219.0,5642.070586062406,1.238413572585845e-10,0.00018889210981991585,925391.0561389681,15881787.040000001,7.23627606616736,1.3382597166574188e-16
30,24873.0,0.23677185,4132007320201705.5,0.6973450944137255,6.862402686224179e-14,1.351430117004843e-07,1197.5873877595734,1969325.0,7.23627606616736,5.730189509645929e-17
31,5447.0,1.2613577,7254229030684302.0,10465.668552398687,2.1024892041620915e-10,0.00030219305079452155,1209168.3605319078,24810910.96,7.23627606616736,1.7387894628976366e-16
32,7433.0,1.2806013,1.6303546192535864e+16,10329.352913504867,2.6438457052546717e-10,0.00035574236759774785,3365923.5377597306,41674353.54,7.23627606616736,7.854740832925591e-17
33,2801.0,2.3496194,7485110623260139.0,49096.8144288335,1.0976198975321657e-09,0.0014605700187965216,3496654.119947988,186192454.64000002,7.23627606616736,3.13905768165738e-16
