,id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume
0,52597.0,11.721052,1.6878934970215978e+16,0.010916512638099202,7.576217592416125e-09,15720355725750.324,4724547668.25,2.8957850057274284,6.944189322775749e-16
1,20925.0,14.855804,1.4053520573660622e+16,0.008335895421126218,5.852569367712699e-09,7885717784152.287,1527309598.95,2.8957850057274284,1.0570877184926197e-15
2,30961.0,98.81291,4.767106190009583e+16,0.07366398485724404,5.394040586903716e-08,35538275129610.11,7552909712.52,2.8957850057274284,2.0728069831354306e-15
3,129317.0,4.336176,7417938051235958.0,0.0011060957762734193,7.813763925984631e-10,1892208698892.7507,217185494.73,2.8957850057274284,5.845527382474591e-16
4,21994.0,4.4631395,2794118786069240.0,0.011862856120446488,8.340076604872109e-09,7426662138294.3545,16331440776.9,2.8957850057274284,1.5973334856957653e-15
5,61313.0,40.142708,3.7313277418671784e+16,0.03314461270989248,2.5068746335992072e-08,30808437960355.168,5968050719.19,2.8957850057274284,1.0758290554212306e-15
6,61993.0,21.984505,4.631117532760444e+16,0.023724417626015556,1.685894877552289e-08,49976365818730.766,4678761093.67,2.8957850057274284,4.747127414599607e-16
7,60246.0,33.73324,3.2965032281889988e+16,0.027155397056416942,2.0875448818778106e-08,26536986681158.55,4054883013.38,2.8957850057274284,1.0233037150256954e-15
8,23284.0,110.79817,3.5923422770034984e+16,0.08937796098002891,6.543750338272824e-08,28978477520064.355,15794014354.01,2.8957850057274284,3.084287672399099e-15
9,82833.0,7.2395315,8540559085368469.0,0.004702226695223163,3.1167054697909855e-09,5547271245846.55,841788345.88,2.8957850057274284,8.476648223653922e-16
10,48380.0,33.024162,1.5756336588598246e+16,0.02308450902333738,1.7060261119936466e-08,11013974984565.457,6234883723.92,2.8957850057274284,2.0959289498738725e-15
11,58944.0,16.560879,3.023962613745881e+16,0.01983320252656546,1.3222883587277843e-08,36214782410513.53,3265927007.46,2.8957850057274284,5.47654885834898e-16
