Complexity,Loss,Equation
1,3.7092142,"8.951819"
3,3.0282137,"11.901815 - x0"
5,0.2985944,"10.508867 - (x0 * 0.5278131)"
8,0.10081146,"10.121179 - exp(2.4209638 - (7.6405826 / x0))"
9,0.08991383,"10.100895 / exp(exp(0.6500868 - (9.526555 / x0)))"
