SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,0.0,-5.909683992207387e-05,2.4385959850951485e-06,0.0,0.0,0.0,7.82008475162452e-05,4.588847315018781e-07,1.6982282391748619e-06
II-other,5031.221998336549,-426.75109986800936,11.871292152713092,-0.12411496266071796,0.000416718568307353,2424.7974155534584,190.4351950551049,4.928795257167103,0.04903395654740785,0.00015980231003750596,0.0003961854288431924
Ib,0.0,0.0,0.0,-7.559246543314694e-11,1.11867227814769e-14,0.0,0.0,0.0,8.206411487076768e-10,7.755761672823147e-14,0.00012886276687342437
Ic,6590.970554601603,-426.52512989857644,5.731806214526677,0.05163861852451308,-4.2114451106383487e-05,3114.52214988322,225.76820068197623,4.843610000503453,0.031535376241515777,3.547406786139411e-05,0.00019800835472420458
Long-GRB,-1071.8609587525914,84.87301800149152,-2.030462991230517,0.013952529799430888,-1.3932177217555923e-07,534.0044662306241,35.80688319430567,0.6518199682102956,0.002574083786053815,2.5685080077587616e-08,2.4242086040926627e-05
Pair-Instab,0.0,-0.7547846293920152,0.04924013741820007,-0.0008534379072908522,3.1467539206069794e-06,0.0,1.3999829627546185,0.07559927347048957,0.0009287749884282795,7.143573888247388e-07,
Low-mass,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
