,id,sfr,sfrd,sn,snr,snrd,mass,z,halo_volume
0,1130.0,0.14212053,7733809739025246.0,1877.6317789074058,1.279787255426527e-10,6964251.498286746,6874977.9,11.980213315300292,1.837652267068993e-17
1,3070.0,0.10222784,1.1094679979312044e+16,529.4393831457531,7.977435847568583e-12,865782.7240041984,3770969.4000000004,11.980213315300292,9.214131474780846e-18
2,139.0,0.17022695,4358592105403722.0,817.8496542210668,2.657449725201102e-11,680429.2383062032,7763707.99,11.980213315300292,3.905548991128465e-17
3,1367.0,0.14572513,5776942101791669.0,476.24746132810355,1.313694484368542e-11,520784.3681896271,2176260.2,11.980213315300292,2.5225305608447177e-17
4,296.0,0.25230712,5570137442037552.0,291.67139856550733,1.3033641852504132e-11,287741.2912039143,8177171.9,11.980213315300292,4.529639037195934e-17
5,476.0,0.33654997,1.4444503118644936e+16,3867.038922263154,1.93908835122297e-10,8322439.528539629,14503096.66,11.980213315300292,2.329951866364873e-17
6,438.0,0.28015655,6037872330449401.0,221.72821296674462,2.382742327685909e-11,513523.38436939457,5494738.05,11.980213315300292,4.6399879736964866e-17
7,1086.0,0.110905774,4042464962029565.5,188.78747110778892,5.2789615254792446e-12,192415.74386065773,6626928.9,11.980213315300292,2.7435184977909737e-17
8,1318.0,0.25842223,1.2336602328174126e+16,52.25786215642726,4.1606187006615024e-13,19862.029032574133,4574515.4,11.980213315300292,2.0947601545834026e-17
9,239.0,0.18098171,3641311201990936.5,1746.1529490151731,6.913818185312712e-11,1391044.6313446718,5232723.1,11.980213315300292,4.9702346204588546e-17
10,710.0,0.10202509,4771052704143482.0,396.48743079160954,1.0581314592834257e-11,494819.55469517125,1734147.2,11.980213315300292,2.1384188422692335e-17
11,172.0,0.11897039,5235147582676509.0,578.9918478545386,1.0367919894081361e-11,456227.7283522709,3407459.1,11.980213315300292,2.2725317313628718e-17
12,225.0,0.53474265,9811970905121354.0,5776.530822960945,1.7463292346088814e-10,3204332.3345809784,35419977.24,11.980213315300292,5.4499004855476206e-17
13,1954.0,0.13973023,5652493144376689.0,1012.3650309733812,7.015020318006239e-11,2837779.216078972,6164643.8,11.980213315300292,2.4720106054265426e-17
14,38.0,0.1926315,5543202698233832.0,1671.4249621137633,1.1118951951308448e-10,3199611.925257568,4600053.1,11.980213315300292,3.4750939210896256e-17
15,696.0,0.10151537,6633243853352882.0,548.5866017090166,1.509884702248161e-11,986592.810572346,2220738.6,11.980213315300292,1.5304031065990042e-17
16,646.0,0.1673089,4775728656025738.0,1625.4027116453626,1.0695330638165913e-10,3052915.715443649,7493930.3,11.980213315300292,3.503316709354903e-17
17,608.0,0.13200457,4861701735167392.0,968.8489743381775,3.4786592882309506e-11,1281183.2118879354,11598569.6,11.980213315300292,2.7151926874727325e-17
18,845.0,0.22024156,8021982152134431.0,1508.0230298149766,7.004070746234149e-11,2551132.0623853747,13152011.16,11.980213315300292,2.7454755672997818e-17
19,493.0,0.33949247,9019948574429314.0,652.4888544086723,3.7132782493454273e-11,986577.9600838472,8350966.6,11.980213315300292,3.7637960704391205e-17
20,708.0,0.10496894,4110154551803319.0,43.05237824116184,5.626878174049697e-13,22032.554524712847,1349570.1,11.980213315300292,2.5538927715977288e-17
21,3838.0,0.10529732,7507640689680491.0,34.05481161054361,6.655551805429703e-13,47453.71634028339,2054528.9,11.980213315300292,1.4025354216103438e-17
22,796.0,0.123533234,4636227346615191.0,84.06235214463817,1.0591990475331473e-12,39751.95524859279,1373083.2,11.980213315300292,2.664520627751116e-17
23,297.0,0.12660293,1.1082980197220422e+16,609.2726336127339,1.0946990041734634e-11,958313.3174857338,5082990.5,11.980213315300292,1.1423184716305062e-17
24,24.0,0.3592741,2.0265144038197456e+16,744.4478424824998,1.3502797029899872e-11,761636.1066090368,6135446.4,11.980213315300292,1.7728672410263148e-17
25,2315.0,0.15010902,8619961725533433.0,1477.1517088050596,5.391249277865097e-11,3095907.3897096184,4419683.9,11.980213315300292,1.7414116765200688e-17
26,209.0,0.18567163,4633176972279240.0,998.9924315559701,2.5670066034005934e-11,640560.751395589,4960091.04,11.980213315300292,4.0074366058299065e-17
27,1529.0,0.11366241,1.0133927084564188e+16,13.133880824134556,1.0254191353269545e-13,9142.444497279455,1246183.2,11.980213315300292,1.121602800686503e-17
28,73.0,0.30841568,4009141417863693.0,6.0413206681333715,3.707150423205129e-14,481.89801192736377,3117451.0,11.980213315300292,7.69281119956956e-17
29,15.0,1.3674151,1.0189042532008016e+16,8485.863634068684,5.681338228477487e-10,4233344.859851276,49398411.49,11.980213315300292,1.3420447463089699e-16
30,276.0,0.11044752,8821103660135269.0,510.92169995639324,3.5798402301108416e-11,2859108.267576332,1109112.8,11.980213315300292,1.2520827807424985e-17
