SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,-0.09039207829822651,0.0029683709164798192,0.00013635072259532055,0.0,0.0,0.06104297795755424,0.002374204241427284,1.2842672296753172e-05,2.8798200102449592e-05
II-other,0.0,0.0,0.15405891867178598,-0.009469707025526523,0.00014916053839752997,0.0,0.0,0.04332084479479452,0.0019234955468542634,1.928344693850567e-05,4.640240160608901e-05
Ib,0.0,-9.763312921773085,0.5564315114806213,-0.005043858927522073,1.2297407584366122e-05,0.0,5.760857674825321,0.283393993801967,0.002616509210263169,5.879789042997534e-06,5.2747811677302066e-05
Ic,0.0,0.0,-0.0026286969592440286,0.0001244269369557517,-3.2098605598562374e-07,0.0,0.0,0.0007788873050825647,3.851755287388471e-05,3.43210302955532e-07,6.564659161765605e-07
Long-GRB,0.0,0.0,0.03162395875989802,-0.0015295945834451702,1.0192699512100528e-05,0.0,0.0,0.0234171023495055,0.00046945525047360266,1.2199849575089507e-06,3.3289195071980356e-06
Pair-Instab,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low-mass,3.230088433530766,-0.12114665222054521,0.0013582402961178817,-4.6149241519452495e-06,2.1411254911374486e-09,0.05294424640266773,0.0043318456992800765,0.00010945074161218696,8.905135803467778e-07,1.75221522918248e-09,
