SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,0.0,-8.002680451525552e-05,2.424942948343197e-06,0.0,0.0,0.0,3.0200119281260906e-05,3.6853518164409585e-07,1.116674509197211e-06
II-other,2331.0547451227526,-214.99768971519882,7.026057682254451,-0.09508907737767207,0.0004445137176943397,618.1826835649101,48.512029908578,1.3083422989135618,0.015081581499561451,6.489565740330159e-05,7.11628448418646e-05
Ib,-736.7938325301808,67.30060247439243,-1.983717546446686,0.01925115941336716,-1.923132640512e-07,442.9083149226044,34.30271064888252,0.8100079893251373,0.005816253725826614,5.808577097249386e-08,5.2406949041934225e-05
Ic,4788.012638554423,-344.51469469094326,6.798765723005531,-0.01811340469682051,6.509904395618563e-06,620.9584194683005,46.9623197727337,1.0864004612471707,0.008141204122968152,1.6715880690452374e-05,3.915188835885939e-05
Long-GRB,-1856.4767363078527,144.81278332766274,-3.3780677603341522,0.022055395215537614,1.3211563049824507e-06,1080.401212121109,73.37749766282391,1.3655227452548289,0.005598717373977681,7.543948431118143e-07,3.31222412090871e-05
Pair-Instab,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low-mass,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
