SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,417.842875769766,-36.44885624287353,1.0401995817774274,-0.010431875921016975,0.00012831870640738667,271.4860984110684,21.04924243356312,0.5084474443024756,0.004085392835989624,8.093352786556331e-06,1.4053706636943083e-05
II-other,214.5539396767363,-21.33460231143637,0.7545792792158329,-0.011324570167356617,7.058893029203325e-05,78.14983340018404,6.4407925205108505,0.16984891863376467,0.0015729287018687406,4.22064745920921e-06,6.199536910004724e-06
Ib,-167.41262607251699,13.685481804907438,-0.3463428332682451,0.0027106221360028186,3.7268576665845995e-06,66.21455598199674,4.921820971593568,0.11289435181439532,0.0008642837445932112,1.3733693366193522e-06,3.791006915864788e-06
Ic,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-GRB,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pair-Instab,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low-mass,0.0,0.9894198206981827,-0.10173937995586683,0.002487597668257064,2.549899318584525e-06,0.0,0.7585154884859402,0.04385463122275493,0.0006192577719973524,1.2983628014239715e-06,4.021013498258258e-06
