,id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume,snr_err,snr_solar_err,snrd_err
0,1130.0,0.14212053,7733809739025246.0,0.00023810754789102534,1.4142945191980886e-10,12957160185196.55,6874977.9,11.980213315300292,1.837652267068993e-17,2.8315820365484236e-05,1.487173662371127e-11,1540869340348.445
1,3070.0,0.10222784,1.1094679979312044e+16,0.00016027468753933516,8.39757123927408e-11,17394443304614.04,3770969.4000000004,11.980213315300292,9.214131474780846e-18,3.999430419793991e-05,2.151540944651279e-11,4340539779294.9507
2,139.0,0.17022695,4358592105403722.0,0.0003086700803968148,2.5455306903351384e-10,7903372383702.399,7763707.99,11.980213315300292,3.905548991128465e-17,3.6659852584474214e-05,2.9025917710024477e-11,938660676584.7214
3,1367.0,0.14572513,5776942101791669.0,0.0001260960814423999,1.0292535294903285e-10,4998793013638.424,2176260.2,11.980213315300292,2.5225305608447177e-17,1.4862022790885469e-05,1.211118548587481e-11,589171168887.9851
4,296.0,0.25230712,5570137442037552.0,0.00016746561363204882,9.126151269774175e-11,3697107258588.935,8177171.9,11.980213315300292,4.529639037195934e-17,3.8115674694120936e-05,2.1820997252021288e-11,841472673233.503
5,476.0,0.33654997,1.4444503118644936e+16,0.0007631426701990575,5.274071466857941e-10,32753580930823.766,14503096.66,11.980213315300292,2.329951866364873e-17,8.326351865594766e-05,5.0275583942170094e-11,3573615397722.9204
6,438.0,0.28015655,6037872330449401.0,1.715063413078753e-05,1.402635145296579e-11,369626693603.7838,5494738.05,11.980213315300292,4.6399879736964866e-17,1.4984296298912444e-05,1.2258905842993811e-11,322938257251.02203
7,1086.0,0.110905774,4042464962029565.5,0.0001507214468404641,1.9251251903750215e-10,5493728107239.736,6626928.9,11.980213315300292,2.7435184977909737e-17,4.2395027586714776e-05,4.025710444869506e-11,1545279451217.4934
8,1318.0,0.25842223,1.2336602328174126e+16,2.7073234245864754e-05,1.9132565201601238e-11,1292426447325.134,4574515.4,11.980213315300292,2.0947601545834026e-17,3.715826158608847e-05,2.6387443485347904e-11,1773867118141.664
9,239.0,0.18098171,3641311201990936.5,0.0003099900964273524,2.587944320118075e-10,6236930851339.447,5232723.1,11.980213315300292,4.9702346204588546e-17,4.537854662731142e-05,3.07232576903871e-11,913006127326.8837
