SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II-other,0.0,0.0,0.0,-0.021159312524481267,2.211355296906663e-05,0.0,0.0,0.0,0.0,0.0,1.3747686448815984e-06
Ib,0.0,0.0,-6.530264943600184,0.027807580775471054,1.0652265601193597e-07,0.0,0.0,0.0,0.0,1.5841858420143746e-08,3.881551566899592e-06
Ic,0.0,0.0,0.0,0.0005139686008066361,6.176357218994077e-06,0.0,0.0,0.0,0.0,0.0,1.1295080132598998e-05
Long-GRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pair-Instab,0.0,0.0,0.0,-0.0009915378845117137,1.12189780152247e-06,0.0,0.0,0.0,0.0,0.0,1.999809163942097e-07
Low-mass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
