SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,0.0,-0.0003099164853384674,7.973769675668551e-06,0,0,0,0,0,9.913372663307804e-06
II-other,0.0,0.0,0.0,-0.00040417985978975757,7.001587005388887e-05,0,0,0,0,0,1.3873909751479575e-05
Ib,0.0,0.0,0.0,0.0023683799446845896,8.244650690139722e-06,0,0,0,0,0,1.7484496910453608e-05
Ic,0.0,0.0,0.0,0.00012279465315830185,7.501911081896819e-07,0,0,0,0,0,1.7103411615903312e-06
Long-GRB,0.0,0.0,0.0,-0.00020887723454411584,5.431265929580489e-06,0,0,0,0,0,2.9986668367954857e-06
Pair-Instab,0.0,0.0,0.0,0.0,-0.0,0,0,0,0,0,0.0
Low-mass,0.0,0.0,0.0,0.0,-0.0,0,0,0,0,0,0.0
