SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,-0.01086603690493393,8.193804406773327e-05,2.83183855219968e-07,0.0,0.0,0.0,0.0,7.259972489506304e-08,2.18781064594183e-07
II-other,0.0,0.0,0.0,-0.011538676441800457,8.981764344879331e-05,0.0,0.0,0.0,0.0,0.0,2.1554685101620255e-05
Ib,0.0,0.0,-1.301353225138412,0.010097971695482955,-2.0329064992783617e-13,0.0,0.0,0.0,0.0,2.306089187223635e-16,8.479396253980028e-06
Ic,0.0,0.0,-0.17485031335186757,0.008695627415925396,8.096259614966776e-06,0.0,0.0,0.0,0.0,3.134297976093449e-07,3.215958303355852e-05
Long-GRB,0.0,0.0,-0.369244604567318,0.001794396920428306,1.1042134762871817e-13,0.0,0.0,0.0,0.0,8.035271184949866e-15,7.302995723372913e-07
Pair-Instab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low-mass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
