mtl,Ia,Err_Ia,IIP,Err_IIP,II-other,Err_II-other,Ib,Err_Ib,Ic,Err_Ic,Long-GRB,Err_Long-GRB,Pair-Instab,Err_Pair-Instab,Low-mass,Err_Low-mass
em5,3.939027461512774e-07,1.4888125079705732e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
em4,2.537020814358881e-07,9.589037469251398e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001,4.2382666648828795e-08,2.4469644148443952e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002,4.6543275390379996e-08,3.291106525775313e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003,4.567770807495935e-08,3.229901863350584e-08,1.7135783685857084e-07,1.7135783685857084e-07,0.0,0.0,1.2524120430972144e-07,1.2524120430972144e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004,2.8368094877532034e-07,1.0722131749099043e-07,4.4430815078187197e-07,2.565214273328716e-07,0.0,0.0,1.2524120430972144e-07,1.2524120430972144e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006,2.0202075528542384e-07,7.142512413244547e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008,2.5849337317432614e-07,1.1560175394306639e-07,1.0636918069979806e-07,7.521437149490248e-08,1.707607801240751e-07,1.707607801240751e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010,1.5737323183586752e-07,7.868661591793376e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
014,0.0,0.0,0.0,0.0,1.6658112453622993e-07,1.6658112453622993e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
020,3.423159592504343e-07,3.423159592504343e-07,1.3477288036617205e-07,9.529881700189695e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
