mtl,Ia,Err_Ia,IIP,Err_IIP,II-other,Err_II-other,Ib,Err_Ib,Ic,Err_Ic,Long-GRB,Err_Long-GRB,Pair-Instab,Err_Pair-Instab,Low-mass,Err_Low-mass
em5,2.3509128,1.6623464,14.970916,7.4854579,12.997021,4.9124122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.650526,9.0688305
em4,1.7415717,1.7415717,46.58046,9.9309874,14.76458,5.5804868,2.2128487,2.2128487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001,0.0,0.0,1221.8209,74.914642,101.80365,15.175992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002,0.0,0.0,1046.4132,74.743797,70.839371,13.154541,5.4805884,3.8753612,0.0,0.0,0.0,0.0,0.0,0.0,3.5587702,2.5164306
003,0.0,0.0,919.22491,66.86377,50.753948,9.4247713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.376291,9.1881456
004,1.9011539,1.3443189,926.65009,70.249161,33.872299,8.4680748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.546118,6.5052214
006,5.6549072e-09,5.6549072e-09,464.45697,54.736782,12.687057,6.3435283,1.8591431,1.8591431,0.0,0.0,0.0,0.0,0.0,0.0,2.1125121,2.1125121
008,5.6549072e-09,5.6549072e-09,482.15909,63.310589,14.290055,5.8338904,3.7800953,3.7800953,0.0,0.0,0.0,0.0,0.0,0.0,4.3043275,3.0436192
010,3.2684326e-08,3.2684326e-08,229.17784,29.836414,10.134991,5.8514395,6.8876677,4.8703165,0.0,0.0,0.0,0.0,0.0,0.0,1.8591431,1.8591431
014,9.3514309,3.1171436,463.82156,48.621708,30.512447,9.6488829,8.502739,4.9090586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
020,0.0,0.0,67.451271,13.228283,24.616781,9.3042688,2.1918154,2.1918154,0.0,0.0,0.0,0.0,0.0,0.0,6.5091243,4.6026459
030,2.723999e-08,1.9261583e-08,45.172138,9.4190416,3.5461657,2.5075178,17.84762,10.304328,0.0,0.0,0.0,0.0,0.0,0.0,2.6328943,2.6328943
040,4.908556,3.4708734,43.289257,9.9312363,3.5461657,2.5075178,8.5530968,8.5530968,0.0,0.0,0.0,0.0,0.0,0.0,12.824273,7.4040976
