,id,sfr,snr,snr_per_mass,snr_per_volume,mass,z,halo_volume,sfrd
0,133191.0,34.23071,187143.96331680377,7.181964849331671e-09,2.8621396369304826,4801134407.87,1.4955121664955555,4.064917297909469e-12,50664685310740.18
1,119470.0,38.861725,189601.4315253917,7.231968591577064e-09,2.882067009965274,8241515862.64,1.4955121664955555,4.749149691495611e-12,102772280715796.92
2,216341.0,13.320032,52719.53214965014,1.742767066980617e-09,0.6945234075890075,2869983708.35,1.4955121664955555,8.759023527279609e-13,11736579736972.871
3,98286.0,14.865337,90307.27595145574,3.4876136556659523e-09,1.3898755412469663,1091072002.9,1.4955121664955555,1.818320671523233e-12,4899229811057.416
4,122080.0,36.899982,201370.55039657553,9.373811857339665e-09,3.7356293199509927,2216199782.58,1.4955121664955555,8.523332029718767e-12,25675442467559.57
5,271333.0,12.187281,55556.02485243291,2.256386620453966e-09,0.8992098566511197,1326829925.22,1.4955121664955555,3.95431510964944e-13,5065690779676.434
6,249178.0,15.015804,67645.45455948908,2.8314243236891593e-09,1.1283725214213423,1519506918.95,1.4955121664955555,6.870508339643202e-13,7210795526853.383
7,171702.0,17.090012,76818.24649478658,3.0694698749835955e-09,1.2232378712313146,1848816831.58,1.4955121664955555,1.5376345600481498e-12,9671153021366.36
8,56687.0,18.911127,110901.2150970757,4.2419917976914166e-09,1.6905085333070675,2871938193.96,1.4955121664955555,1.1911081560798037e-12,17250859845808.996
9,240973.0,12.187886,73416.01018448893,3.1822858412405346e-09,1.2681970231453823,1378033650.5,1.4955121664955555,4.691054076143875e-13,5279654099765.582
10,194683.0,15.507244,85223.91538478789,3.6401173726325988e-09,1.4506509616599585,2547423145.12,1.4955121664955555,8.779868011125048e-13,12712075248040.506
11,34596.0,26.814112,169020.8589373411,7.256102018412638e-09,2.891684606120383,3370338612.51,1.4955121664955555,2.805397224480045e-12,28285567938825.05
12,175167.0,13.40013,116736.42645003647,4.80561933033084e-09,1.9151240438915755,2387715857.41,1.4955121664955555,2.5653031556848135e-12,9548256320310.926
13,227485.0,13.738911,57672.13060214614,2.539590342800257e-09,1.012071533930006,1061156705.81,1.4955121664955555,1.5333357437150917e-13,4566315383087.153
14,233326.0,19.368385,126824.79317017419,5.107319570590936e-09,2.0353569097207957,2518818371.97,1.4955121664955555,1.6167717843064849e-12,15336943558357.285
15,90790.0,43.491653,191903.63232806386,7.838125159985936e-09,3.1236310912473266,4976796931.49,1.4955121664955555,2.261347450332928e-12,66468951098275.9
16,118923.0,14.623912,43450.41892285855,1.507630569950832e-09,0.6008173672008315,1185380515.07,1.4955121664955555,1.4108517078464551e-12,5542320351924.368
17,1.0,48.18594,163649.74548751875,6.913951626867565e-09,2.7553316417190654,7197339059.42,1.4955121664955555,1.4247885033647636e-11,110685785271386.39
18,164347.0,19.624292,69523.14140175958,2.8235387654765273e-09,1.1252299874221963,4456432613.83,1.4955121664955555,9.410401790089697e-13,28302846979565.16
19,262230.0,17.814495,126199.7015479544,5.019580032071937e-09,2.000391156450006,2190690983.91,1.4955121664955555,9.734726845394305e-13,12296144159998.568
20,104116.0,19.733786,64037.21982808364,2.5134248324166466e-09,1.001644116647893,2339671492.19,1.4955121664955555,1.3412394357835107e-12,14305092032796.037
21,237209.0,12.022863,80913.75066953081,3.098059896147406e-09,1.234631498812385,1966704259.87,1.4955121664955555,1.414881285510166e-12,7426550514874.077
22,72548.0,18.154755,47332.173345423864,1.9370943480839855e-09,0.7719662558138413,597375833.34,1.4955121664955555,1.192008139500828e-12,3197865581169.0547
23,134719.0,25.081194,164536.60011606445,6.591974718248882e-09,2.6270181659966614,4803088755.16,1.4955121664955555,2.707406369297172e-12,37252475954430.14
24,89696.0,37.440002,218191.5227224566,9.03828434331551e-09,3.6019156890274653,3914424207.37,1.4955121664955555,6.167609508663738e-12,44865946513087.09
25,188384.0,35.74856,218065.47292075094,8.4272642226534e-09,3.3584133964101723,3879783504.69,1.4955121664955555,3.6548540323614315e-12,42810526773724.07
26,154598.0,158.03004,647808.1589980194,3.590526308368225e-08,14.308880480776345,14377997749.77,1.4955121664955555,5.831379243688e-12,714482659872133.1
27,76849.0,14.252559,41997.88121874653,1.6809876907138342e-09,0.6699032367489267,1463350842.46,1.4955121664955555,5.165773778195309e-15,6554600083899.856
28,189519.0,16.417149,100014.79381063317,4.163905835948094e-09,1.6593899006094708,2277373459.7,1.4955121664955555,1.2503082879768231e-12,11796169638375.094
29,223153.0,12.420558,81699.3352864153,3.322918180269321e-09,1.3242414901140547,1816193493.54,1.4955121664955555,4.600923760322086e-13,7147527637266.373
30,136896.0,37.426575,139115.1263209704,6.222442996889542e-09,2.479753258830743,5169935015.86,1.4955121664955555,3.1235467730950747e-12,61420588135506.836
31,118511.0,11.642761,86938.6922723417,4.216549881438607e-09,1.6803694810457062,850085208.5,1.4955121664955555,1.979736689251627e-15,3034458998349.0522
32,150152.0,19.306343,57236.21684523171,2.871371280337405e-09,1.1442920880575291,2220275093.04,1.4955121664955555,2.9914314109533343e-13,13118130407182.057
33,142162.0,16.212254,54136.00700643518,2.157618043465582e-09,0.8598488370677422,3059583782.84,1.4955121664955555,1.5244355523047596e-12,15331642375969.111
34,222048.0,20.623383,88645.85498655126,3.802736758256829e-09,1.515457654409465,1378697664.82,1.4955121664955555,1.2841022311808565e-12,8736565044515.189
35,117968.0,23.161488,94786.15974372638,3.880051507268134e-09,1.5462689452340335,3081550785.37,1.4955121664955555,3.872978172462757e-12,22632600928951.363
36,79978.0,25.162748,88408.19874526237,2.6859944342377867e-09,1.070416146010799,10016707872.04,1.4955121664955555,1.2677403585418525e-12,80984503026850.94
37,198625.0,19.811407,144002.08142775428,5.340298395463592e-09,2.128203079706655,3074375599.62,1.4955121664955555,2.1119865196394736e-12,19137952770940.223
38,140612.0,71.87937,299639.26316232834,1.2236446488820027e-08,4.876439699379717,9152874888.88,1.4955121664955555,5.469242114145174e-12,205557929673734.25
39,154800.0,17.024635,58932.36249550715,2.4566822754610987e-09,0.9790312071210007,1909239032.88,1.4955121664955555,1.03097032347536e-12,10285479757776.795
40,121212.0,23.982584,78490.03142737583,2.9045478118425045e-09,1.15751352088666,2391444898.95,1.4955121664955555,1.557681946130244e-12,17318158516895.256
41,71527.0,25.024347,46761.62810862765,1.6368920392970254e-09,0.6523303420907104,6575540182.08,1.4955121664955555,1.6341734738458262e-12,53174135413045.73
42,231328.0,15.743069,110802.16126135283,3.853935280165567e-09,1.5358611682084624,2901530624.99,1.4955121664955555,1.1685633700968493e-12,14963229092317.066
43,129529.0,22.984339,117601.34454197797,5.199106542619957e-09,2.0719356366164776,2222828682.28,1.4955121664955555,8.723830925514834e-13,15910337045403.904
44,81751.0,27.322933,73389.40262878874,2.663075768506002e-09,1.0612826535762594,6679981152.44,1.4955121664955555,1.204369804388054e-12,56784417201760.16
45,249080.0,15.52133,57288.795272463256,2.4159611889988506e-09,0.9628031361031761,2238475487.56,1.4955121664955555,8.508955900815979e-13,10911263812392.715
46,38031.0,15.058115,70509.70601303181,2.822654656589874e-09,1.1248776544407715,1983131359.45,1.4955121664955555,8.531538425688184e-13,9595478047618.947
47,48310.0,22.171568,90341.205136929,5.20410303542977e-09,2.0739268271077447,5186965348.82,1.4955121664955555,2.923305745491338e-14,36456349119971.12
48,135455.0,22.945612,100787.9183193476,4.1888160171875264e-09,1.6693170470915561,2288552669.58,1.4955121664955555,2.802930895266023e-12,16496192719644.139
49,115779.0,18.565226,139322.51831950893,5.34898866633746e-09,2.131666305891349,2206961508.05,1.4955121664955555,3.5360291134141696e-12,12518380328766.719
50,208036.0,36.769672,152930.62067988273,6.578922828244067e-09,2.621816757676888,2506956201.92,1.4955121664955555,7.764746169384669e-13,28647324032830.055
51,63893.0,48.73486,139015.4887205823,6.9261424174175726e-09,2.7601898867217463,2504198650.24,1.4955121664955555,8.58035162829055e-15,36920653762468.836
52,181908.0,12.641734,50443.35407881807,2.246313787020706e-09,0.8951956549068416,2218195088.87,1.4955121664955555,6.996039189492267e-13,8650166879430.07
53,78465.0,42.97678,237648.10775904666,9.456389008812356e-09,3.7685377709519456,7602018424.48,1.4955121664955555,3.3029424848939795e-12,101049327545903.73
54,97367.0,18.889591,44180.7522455441,2.012408483964366e-09,0.8019802670275642,2476531754.98,1.4955121664955555,1.882672014909207e-12,14905113510885.82
55,259497.0,12.179513,69698.54512042855,2.718917102605051e-09,1.0835364099029612,1094775404.86,1.4955121664955555,4.087643043657858e-13,4188786854219.093
56,174154.0,26.853128,67948.44420956385,2.068397973664974e-09,0.8242930659740161,7729116010.02,1.4955121664955555,2.4785010489303086e-12,67547521013410.89
