Complexity,Loss,Equation
1,3.7092142,"8.951819"
3,3.0282142,"11.901817 - x0"
5,0.2985944,"(x0 * -0.52781314) + 10.508867"
8,0.25522897,"58.86635 / (exp(x0 * 0.19444491) + 4.6824374)"
10,0.061562467,"72.27436 / ((x0 + 4.762452) + (3.0190442 / exp(x0)))"
