SN,C0,C1,C2,C3,C4,Err_C0,Err_C1,Err_C2,Err_C3,Err_C4,Std
IIP,0.0,0.0,0.0,-12603.445578788074,450.1368848779764,0.0,0.0,0.0,0.0,0.0,272.6748400023809
II-other,0.0,0.0,0.0,-779.6874303739049,28.668036502053578,0.0,0.0,0.0,0.0,0.0,18.79269027318325
Ib,0.0,0.0,0.0,156.23116261570183,2.302421357710157,0.0,0.0,0.0,0.0,0.0,3.045874154142299
Ic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-GRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pair-Instab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low-mass,0.0,0.0,0.0,-92.20093139334116,7.598356400790821,0.0,0.0,0.0,0.0,0.0,5.99457281786573
