Complexity,Loss,Equation
1,28.686113,"25.064997"
3,7.6995683,"x0 + 22.11455"
5,6.138284,"(x0 * 1.3571098) - -21.061071"
8,6.016968,"(x0 + log(x0 + 0.3212556)) - -21.457523"
9,3.013491,"(x0 + (-7.7846932 / (x0 + -8.097949))) - -20.394747"
