Complexity,Loss,Equation
1,28.686115,"25.06445"
3,7.699569,"x0 + 22.114527"
5,6.138418,"(x0 + 15.555766) / 0.7384603"
6,5.202766,"log(x0 + 4.755438) * 12.777727"
10,5.1741962,"((log(x0 + 6.6924825) + -0.4005963) * 15.520373) - 3.104496"
