,id,sfr,sfrd,sn,snr,snrd,mass,z,halo_volume
0,289095.0,1.363581,2714869696213563.5,357.88436883642754,7.935305885115164e-12,15799.077192835855,5213663.7,0.0095216669679447,5.022638846725463e-16
1,280905.0,0.9994286,1452384836876616.0,619.1979868116451,8.746121202482647e-12,12709.996307861184,35000164.54,0.0095216669679447,6.881293267625213e-16
2,453485.0,6.3419194,8181970303072693.0,15844.92904150033,8.214317052315554e-10,1059762.730224378,141780062.9,0.0095216669679447,7.751090709310358e-16
3,421352.0,0.16869926,391348218370167.25,7.43294099087847,4.8240325159228894e-14,111.90781337548123,1058441.2,0.0095216669679447,4.310720020716467e-16
4,486579.0,2.7521312,3521611935266339.0,653.888999261505,1.6535357290097104e-11,21158.55217465622,18656383.8,0.0095216669679447,7.814975785490279e-16
5,373722.0,0.17850058,1135125073566735.5,2593.485430753763,1.1942086044319047e-10,759423.9357428387,19816886.0,0.0095216669679447,1.572519047959394e-16
6,180671.0,3.1115077,5529315611038781.0,6917.059272865993,3.0790410455549953e-10,547162.0629515526,53950097.1,0.0095216669679447,5.627292632361508e-16
7,202219.0,0.25559464,748034251462222.0,445.95954430907256,2.236666401814989e-11,65459.239585477095,3851512.4,0.0095216669679447,3.416884180107738e-16
8,412610.0,2.618799,4212937203730464.5,1136.0053609857434,6.495585755362473e-11,104496.35458386922,8200294.4,0.0095216669679447,6.216088380527273e-16
9,498679.0,0.5514343,3565165500331464.0,54.80373991198394,3.0509403542550683e-13,1972.5119192910604,10131078.14,0.0095216669679447,1.546728475715171e-16
10,325479.0,5.0348964,3999139826804563.5,6198.230433683181,2.3341772812400636e-10,185400.0675809245,96821008.6,0.0095216669679447,1.258994838403297e-15
11,384137.0,1.5922092,2504200758319504.0,11.483461896388764,6.306789598532079e-14,99.19216202999954,3923348.8,0.0095216669679447,6.35815317406295e-16
12,288594.0,4.9123235,3632397227843371.0,2148.3058049614688,1.1175594113483748e-10,82637.46692847298,20081439.0,0.0095216669679447,1.3523640703020105e-15
13,491336.0,2.5838363,4401100343542501.5,1042.3618109277868,5.601983379343133e-11,95419.70973682213,47059846.0,0.0095216669679447,5.87088704712476e-16
14,468832.0,2.797957,2712771564614987.0,849.6793993756502,3.5367624196403265e-11,34290.836216565076,112986095.73,0.0095216669679447,1.0314016250008514e-15
15,335108.0,1.6898801,2660455464695136.5,176.75409251804513,6.4607927047951886e-12,10171.521197116192,1352184.2,0.0095216669679447,6.351845097296695e-16
16,356154.0,1.2248589,4763356980646775.0,77.3686945318984,9.092505911871978e-13,3535.9870028202804,1239935.5,0.0095216669679447,2.571419494647422e-16
17,375887.0,4.556031,5207065569788997.0,7584.484701087817,4.882892562518408e-10,558063.4052592788,55232236.99,0.0095216669679447,8.749709291993074e-16
18,148022.0,1.5814642,3052742169125812.0,3093.920692094117,1.2431519281259507e-10,239968.90436218222,35944262.95,0.0095216669679447,5.180470909054434e-16
19,466663.0,1.2697626,1973524624416649.2,348.6638976126735,2.611002892387254e-11,40581.4323287624,2263773.8,0.0095216669679447,6.433984072407138e-16
20,295346.0,2.571809,3961717048578555.5,622.2520829453765,2.8911173215072716e-11,44535.923087819225,36792042.61,0.0095216669679447,6.491652403401076e-16
21,215442.0,1.3926126,1309006369985713.0,1320.3978332058464,5.863677029157203e-11,55116.4809416896,27657317.87,0.0095216669679447,1.0638699947771832e-15
22,330534.0,0.10088526,740250445749432.1,0.0,0.0,0.0,1602690.9,0.0095216669679447,1.3628530800527031e-16
23,465881.0,2.4745393,3559194400431712.5,48.53974908096964,1.9091243553179334e-13,274.5943341928492,8432596.5,0.0095216669679447,6.952526391084035e-16
24,317234.0,2.3522584,2088254586925063.5,35.43187653153188,2.3603174949836505e-13,209.54091759217795,5544367.5,0.0095216669679447,1.1264231931910562e-15
25,6.0,1.9826267,5241815210899454.0,202.3845576539646,4.649134280559543e-12,12291.72531034264,10698888.5,0.0095216669679447,3.7823284878060343e-16
26,236914.0,8.397313,3705722721807475.5,11523.635988896927,4.967288802458134e-10,219205.77428814373,126434585.92999999,0.0095216669679447,2.266039212967394e-15
27,278872.0,0.1695741,1575555487002692.8,412.93516881536897,4.2084282968910626e-11,391015.6264915521,1364761.4,0.0095216669679447,1.0762813585359319e-16
28,75187.0,4.1790867,2712488935234170.5,496.2997673643471,1.3317835809471814e-11,8644.10931566883,9876112.85,0.0095216669679447,1.5406834091432773e-15
29,319760.0,0.1525689,483509131899564.2,2308.4579185953817,1.4158719737740186e-10,448706.7999575262,71896146.01,0.0095216669679447,3.155450226981277e-16
30,260155.0,0.6397896,2302739347514329.0,455.1393143416161,1.914817766201465e-11,68918.37900384137,4892553.4,0.0095216669679447,2.778384799350456e-16
31,130805.0,0.5866972,2170589880446611.0,1945.8343803899377,1.0054134191830863e-10,371970.44631268625,9672273.7,0.0095216669679447,2.7029389811735593e-16
32,170697.0,5.5713005,2075583511677356.8,5214.210915576851,2.4686376842526593e-10,91968.89799320989,48762137.21,0.0095216669679447,2.684209268697468e-15
33,17207.0,0.18536985,639505580815240.1,2000.97965307556,9.452799802903946e-11,326111.189510391,8223502.5,0.0095216669679447,2.8986431950084156e-16
34,281556.0,4.4865413,5017802403667203.0,1382.8980137780409,4.29698478765747e-11,48058.00092830764,18793776.9,0.0095216669679447,8.941247460683312e-16
35,189071.0,0.94319224,3710656296664382.0,256.7056025689988,5.180662934036477e-12,20381.486108365592,5142973.899999999,0.0095216669679447,2.541847491636084e-16
36,195087.0,0.9152908,994425830726795.6,542.6591110428792,1.394927087675742e-11,15155.309416037608,11350414.16,0.0095216669679447,9.2042138460044e-16
37,468662.0,1.1972687,3670180132319824.5,51.22075836274311,3.2169240880586575e-13,986.1354326872452,8496064.1,0.0095216669679447,3.262152419868389e-16
38,366709.0,1.1626751,2746931086678061.5,0.0,0.0,0.0,1175853.1,0.0095216669679447,4.2326329394963254e-16
39,264547.0,3.0204759,3091710228531899.5,53.21381685710334,6.347693564107861e-13,649.7396360533246,5175945.96,0.0095216669679447,9.76959571477782e-16
40,219962.0,4.6177363,2.2949324706890052e+16,16740.564284627922,9.503996597947714e-10,4723316.5726566175,379107137.71999997,0.0095216669679447,2.012144740195175e-16
41,343858.0,0.47011185,518229428134750.56,796.5459635456134,2.235775571229739e-11,24646.14954326365,8511953.8,0.0095216669679447,9.071500468278329e-16
42,402213.0,0.8350436,3809074813018599.0,282.61363160093856,3.986277189974538e-12,18183.515258415933,2018112.2,0.0095216669679447,2.192247831798946e-16
43,113672.0,10.4469185,4364920069639305.0,5611.04705130673,2.709459886136203e-10,113206.35683028001,58486284.07,0.0095216669679447,2.3933813983593247e-15
44,379909.0,1.800921,1895570074106189.8,760.2107688015783,3.186258412654808e-11,33537.15179842728,15287226.95,0.0095216669679447,9.50068280039281e-16
45,168631.0,7.287921,5955284500342290.0,7750.364863863029,3.8002389175334265e-10,310534.42982140416,83232453.07000001,0.0095216669679447,1.2237737759768008e-15
46,334702.0,1.7046896,3227943225917509.0,2900.2451992412375,1.1423087874202549e-10,216303.77238526332,18033073.6,0.0095216669679447,5.2810395991876835e-16
47,2.0,3.8560297,1307511563195735.0,3807.048554732101,1.1319486434756528e-10,38382.37916808946,38023786.0,0.0095216669679447,2.9491362130483513e-15
48,282183.0,1.311102,1715488212072821.0,647.7872620132878,2.455471995475468e-11,32128.18883132733,5325849.4,0.0095216669679447,7.642733950446667e-16
49,341174.0,1.0217465,3318703568542867.0,986.0918800277038,3.79702808769436e-11,123330.10844166113,16142383.9,0.0095216669679447,3.078751924953077e-16
50,427680.0,4.309066,4544041908461345.0,3084.817264758936,1.5008448067968765e-10,158268.6758611165,43621027.56,0.0095216669679447,9.482892294580729e-16
51,292513.0,5.2483473,5113989865372342.0,4419.438297952841,1.6494721406026374e-10,160724.57343392484,74164897.56,0.0095216669679447,1.0262725265721416e-15
52,107313.0,18.668638,6293946530537143.0,20894.056778324768,9.220147811225611e-10,310848.1578972342,404642836.1,0.0095216669679447,2.9661259290054325e-15
53,130801.0,3.9833963,5027727987318426.0,2700.5133811361325,7.445755614927536e-11,93978.18111119019,28782663.2,0.0095216669679447,7.922855631902576e-16
54,295788.0,5.565856,2819184918962055.0,2353.056966047729,6.157318285347927e-11,31187.68946106794,46236210.8,0.0095216669679447,1.9742784386237395e-15
55,383370.0,3.5276997,2803977769060917.5,5582.135348131394,2.2799218592709384e-10,181218.66236493274,63755390.35,0.0095216669679447,1.2581054453871312e-15
56,173168.0,0.43172657,4854689445707383.0,63.7046076457542,7.95929039172278e-13,8950.08223839843,2681495.1,0.0095216669679447,8.892980175729707e-17
57,356637.0,2.281673,3123440959623316.5,30.44688146184413,2.8199764151334433e-13,386.03383746047405,2826040.5,0.0095216669679447,7.304998011792633e-16
58,453025.0,4.3986206,2990578729508818.0,1927.951270868412,5.914271276966181e-11,40210.54664600992,27111061.5,0.0095216669679447,1.4708258828291885e-15
59,471669.0,1.5360689,3552874252588676.5,112.46457336022048,2.876122538367697e-12,6652.37198269985,8538558.5,0.0095216669679447,4.323454169200606e-16
60,422880.0,17.126581,9364012933203334.0,40835.266000067684,1.5756299953295741e-09,861480.7388707203,1656568029.76,0.0095216669679447,1.8289787852889233e-15
61,212596.0,1.0154563,1052896865234800.1,17.542256530107544,1.7891173521815224e-13,185.50833272186216,1131096.6,0.0095216669679447,9.644404248212377e-16
62,410041.0,0.4997411,646360678350230.1,0.0,0.0,0.0,1476563.1,0.0095216669679447,7.731613582613632e-16
63,310522.0,2.6206076,3520367250353976.5,851.3078908312995,2.4326403145608422e-11,32678.632601350862,3906107.5,0.0095216669679447,7.4441312898149915e-16
64,313368.0,2.623665,4504841857619063.0,682.2589714457727,5.260769357099998e-11,90327.59137749598,2079598.0,0.0095216669679447,5.824100119214133e-16
65,101920.0,1.7842246,2874172260672100.0,563.9359163402029,1.6623804210645907e-11,26778.958730354083,16298746.7,0.0095216669679447,6.207785888180462e-16
66,232316.0,2.5090168,3328417257163718.0,3351.639713543415,1.8129609774440943e-10,240504.19287305395,16418409.9,0.0095216669679447,7.538167862217001e-16
67,211021.0,11.9936,8084557873037085.0,36941.15187793168,1.6351210876087916e-09,1102190.4234088694,780460712.79,0.0095216669679447,1.4835195923329356e-15
68,75188.0,1.794468,3282010370553095.0,472.968211181503,3.176546179765296e-11,58097.76214750287,1471629.6,0.0095216669679447,5.467587842196825e-16
69,372587.0,0.5046892,694236864830957.4,684.5903836498918,1.8245230290003207e-11,25097.647175034945,7346390.9,0.0095216669679447,7.269697499035705e-16
70,145124.0,13.648567,4039824975080192.5,9125.4114364451,3.051398723124285e-10,90318.02950892424,62825544.35,0.0095216669679447,3.378504535268652e-15
71,410718.0,0.4799048,1217366016268247.2,232.53161206130835,7.52759219907198e-12,19095.109962384606,1000550.25,0.0095216669679447,3.942157030727008e-16
72,301313.0,2.5800886,2055680427672420.0,1230.29831494689,3.442892080057244e-11,27431.173733964268,33296612.509999998,0.0095216669679447,1.2551019921522288e-15
73,75192.0,2.2429118,1359095311777658.5,756.4125350482465,1.8460624185609082e-11,11186.239148213746,25111403.84,0.0095216669679447,1.6502976506234388e-15
74,433151.0,4.7450433,3715468155260049.0,6134.971735764513,3.041044614664562e-10,238120.1542357105,186065816.44,0.0095216669679447,1.2771050919336677e-15
75,275421.0,1.6486617,1712126622719703.8,139.37652650733605,1.3649003732971192e-12,1417.441957001888,1863154.5,0.0095216669679447,9.629321091807509e-16
76,438496.0,1.5227966,2010062488659374.0,83.21061126871227,6.695494659830843e-12,8837.925339960133,5932794.9,0.0095216669679447,7.575866962303447e-16
77,497431.0,6.04052,5021642551902366.0,2247.9659282171774,4.855209814510685e-11,40362.63136776444,158985011.43,0.0095216669679447,1.2028972467806673e-15
78,292058.0,7.8688335,5333575285571317.0,5011.38555559668,3.0870061627217755e-10,209240.41379067444,78781328.74,0.0095216669679447,1.4753393509391728e-15
79,416300.0,7.6438093,9997576216078884.0,20224.856992815334,7.525021953495541e-10,984221.0546479551,501675841.95,0.0095216669679447,7.645662443369653e-16
80,352224.0,0.6931924,3732730428070847.0,257.3836715303105,2.0670923342413962e-11,111309.62274910764,6298255.75,0.0095216669679447,1.8570652592189904e-16
81,280282.0,2.0964634,3256237689111067.0,384.36548462430187,4.023392626263447e-11,62491.540313704456,996720.56,0.0095216669679447,6.438299657947642e-16
82,224562.0,2.5335283,4531511766678873.0,1522.3017279922838,1.2996030444471254e-10,232449.20879406933,14797453.620000001,0.0095216669679447,5.59091188646921e-16
83,342451.0,2.4953377,3437225509917997.0,8.544960879547864,7.68799163580333e-14,105.89893692793324,1582858.4,0.0095216669679447,7.259743920786658e-16
84,363051.0,2.2599387,4900021989928754.0,1189.0838061837585,4.5187234124283493e-11,97975.41892310976,16406411.5,0.0095216669679447,4.61209909801417e-16
85,87817.0,0.3292872,1591056629827088.0,125.58165820805687,3.838376769829889e-12,18546.34740558433,1260657.2,0.0095216669679447,2.0696133237934222e-16
86,345986.0,1.8114244,2180087204237587.5,713.6128055824644,2.4430133220235668e-11,29402.177000185813,12780776.4,0.0095216669679447,8.308953864226202e-16
87,60445.0,0.6652956,1094948801651322.2,756.8976373177632,1.5589191424071485e-11,25656.81550952711,5135063.8,0.0095216669679447,6.076042998509606e-16
88,298130.0,3.5210657,3701376919910491.0,165.9455332393168,1.6545406325171483e-12,1739.2684579140566,1884896.5,0.0095216669679447,9.512853665508749e-16
89,487492.0,2.0936728,4528078725924746.0,87.68603316076722,5.382560938710566e-13,1164.1102505400486,30618882.66,0.0095216669679447,4.62375529827481e-16
90,212598.0,0.39357752,3384985269477104.5,13.794578842617666,6.572470618960393e-14,565.2689774876369,2640608.0,0.0095216669679447,1.1627156063246263e-16
91,272454.0,0.14534576,606009894794686.0,9.04979148137424,7.65469071528856e-14,319.1574570223363,1434111.8,0.0095216669679447,2.398405723214183e-16
92,52398.0,2.1403267,1619505989206329.2,5167.625507590223,2.6181071070367015e-10,198102.47380596588,26682999.36,0.0095216669679447,1.3215923338751648e-15
93,121172.0,1.6629434,2946492829018774.5,36.15240019954113,1.751380535095187e-13,310.3190516009765,5482915.9,0.0095216669679447,5.643806031436312e-16
94,476198.0,0.39353275,901374853253264.1,518.5987656832339,1.6697446024380396e-11,38244.99475565929,1535089.2,0.0095216669679447,4.365916672510354e-16
95,154807.0,8.592389,4341719552499367.5,5183.170727089814,2.2416963913003674e-10,113272.53750820729,63725885.72,0.0095216669679447,1.979029022050418e-15
96,284603.0,2.1985755,1501649995138535.5,1008.0489300232019,4.91742116125274e-11,33586.49936237945,17954569.2,0.0095216669679447,1.4641064876087649e-15
97,239264.0,5.3526344,6842408167361364.0,7162.48002491936,2.611545062453469e-10,333840.4219194171,181007956.15,0.0095216669679447,7.822734728881477e-16
98,260154.0,0.5978345,4330748119218518.0,209.53046584135447,7.117072975101493e-12,51556.4933125501,3696531.66,0.0095216669679447,1.3804416316594258e-16
99,7.0,1.819414,3457391243609603.5,61.07799346493229,1.4849048909491409e-12,2821.7311549546353,1039107.0,0.0095216669679447,5.262389679972944e-16
100,454671.0,0.83392185,1712343903843261.5,5930.760760357534,3.1253336300815845e-10,641744.3060097937,203969493.17,0.0095216669679447,4.870060553422173e-16
101,293036.0,1.0829469,2711248639188259.0,24.212768476805334,2.0737948337255615e-13,519.1919770853095,4852997.4,0.0095216669679447,3.9942736506978263e-16
102,405893.0,5.5480833,5130216077524119.0,4441.842610517749,1.846631055565847e-10,170754.76012624474,93288176.34,0.0095216669679447,1.0814521681273017e-15
103,256582.0,7.722321,2801441544103248.5,3215.066227096917,1.3105479838695738e-10,47543.00640381277,46493420.0,0.0095216669679447,2.756552609942801e-15
104,370463.0,2.7952418,3977875507474252.0,601.1464387573211,2.397562949842935e-11,34119.434446808606,16521166.9,0.0095216669679447,7.026971544855701e-16
105,215443.0,4.2688303,4146446172152705.5,4778.474790808033,2.2026982334946997e-10,213954.85453431174,34765529.32,0.0095216669679447,1.0295154266487817e-15
106,252208.0,2.4281926,2821147490518220.0,210.65752283637326,2.3104687326793182e-11,26843.723463777424,6150520.29,0.0095216669679447,8.60710972453965e-16
107,323136.0,2.219397,3851974987172707.0,4440.190459512981,1.7083909544995922e-10,296507.52997523814,32810719.84,0.0095216669679447,5.761711868303186e-16
108,424915.0,7.7351475,8630068247882597.0,11712.63657318001,4.039700448428714e-10,450707.50843395985,754215823.61,0.0095216669679447,8.963020080284802e-16
109,121169.0,1.2621617,4127177279908731.5,2259.4865462236853,1.0724477789892011e-10,350682.6508309364,13464813.9,0.0095216669679447,3.058171758563062e-16
110,107312.0,0.9075164,1683128051018239.2,239.3375744905161,4.82469344074511e-12,8948.13236177528,1226399.2,0.0095216669679447,5.391844069445467e-16
111,269323.0,0.9439876,1.133152546231251e+16,231.19417715549284,1.416632119431637e-12,17005.099359429438,41783389.71,0.0095216669679447,8.330631238835458e-17
112,451887.0,1.1523777,2988075157009944.5,0.0,0.0,0.0,619533.1,0.0095216669679447,3.856588738394189e-16
113,3.0,1.9902471,1450377848856278.8,425.5679063755654,7.694854017581283e-12,5607.567933289608,6975924.9,0.0095216669679447,1.372226624647808e-15
114,446253.0,0.91351,3995244478709805.0,358.09960573990486,2.3237933424550215e-11,101631.31789587445,7287145.3,0.0095216669679447,2.286493366971631e-16
115,429931.0,2.8997912,3095105092786017.0,237.49160988594974,9.130887559019269e-12,9745.89363040243,2275533.7,0.0095216669679447,9.36895876898898e-16
116,400718.0,0.3741581,522193725020239.2,920.8938513953757,4.9248595780222236e-11,68733.79911457292,4769004.0,0.0095216669679447,7.165120568721854e-16
117,294852.0,4.1665325,8254161197931038.0,10769.38143617971,4.565745330086314e-10,904502.6756237542,127743690.1,0.0095216669679447,5.047796378200573e-16
118,41540.0,0.67682946,1266042270315904.0,955.5625896766715,4.733106271356159e-11,88535.04410748012,6113553.0,0.0095216669679447,5.346025767616091e-16
119,219963.0,4.7847342,1931631643513655.5,38267.48257100268,1.8692677952561384e-09,754636.8664570254,348809263.72,0.0095216669679447,2.4770427716210555e-15
