id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume
137020.0,0.29821426,959748244232329.1,0.00024371142907560293,2.125272800248314e-10,784340816413.8821,4453769.84,1.4955121664955555,3.1072133946807243e-16
257626.0,8.559743,5275869404028912.0,0.0021372380513176945,1.5069444475884634e-09,1317304601793.9324,311231221.85,1.4955121664955555,1.622432692034295e-15
201441.0,2.961854,2420427901379497.0,0.0041302418279943204,2.8848922048370952e-09,3375234754961.6255,321227433.1,1.4955121664955555,1.2236902401893165e-15
2588.0,0.66091335,499527324509599.3,0.006494005004780508,4.751435349905331e-09,4908257558104.939,337152373.05,1.4955121664955555,1.3230774725863856e-15
174585.0,10.229747,1.350162660764228e+16,0.011863503678821292,9.189488944976257e-09,15657923595748.324,376666668.75,1.4955121664955555,7.576677460632551e-16
237092.0,9.20766,9205842174599006.0,0.007657798316729018,5.492221217094882e-09,7656286473296.937,849295422.25,1.4955121664955555,1.0001974643239062e-15
70015.0,1.5908184,1563268879906885.8,0.0007234681107687773,4.937225500686525e-10,710939214161.6273,95578790.26,1.4955121664955555,1.0176230208681408e-15
72548.0,18.154755,5406790282236596.0,0.012095700391528682,8.678159648851285e-09,3602302280243.5317,597375833.34,1.4955121664955555,3.3577694070445857e-15
118923.0,14.623912,6271011128097158.0,0.00868379619347263,6.381896871878056e-09,3723776685978.048,1185380515.07,1.4955121664955555,2.331986293961083e-15
98286.0,14.865337,5690016460810942.0,0.020519564371028837,1.5583115842699412e-08,7854289414348.548,1091072002.9,1.4955121664955555,2.612529700464415e-15
23709.0,8.4327755,1878872129243486.2,0.011434182598291927,7.891194990762744e-09,2547603337075.8623,836563675.89,1.4955121664955555,4.4882115013305316e-15
190307.0,4.5044346,4652186572264325.0,0.005855812380440476,4.3478087169915964e-09,6047891499187.129,573439765.46,1.4955121664955555,9.682403166835137e-16
156826.0,4.2355227,2817338362491257.0,0.0194090569877521,1.4765738349770462e-08,12910302860936.854,1357803145.18,1.4955121664955555,1.5033773565822959e-15
42672.0,0.78892237,407891323544687.75,0.0003642002070244611,2.607217351784944e-10,188300028149.1026,15935447.19,1.4955121664955555,1.9341484470521404e-15
114331.0,6.4730964,2152880493700297.2,0.012956988309008795,9.306063888135973e-09,4309351454671.343,1391191281.17,1.4955121664955555,3.0067142226154245e-15
171702.0,17.090012,1.0125293315150558e+16,0.017643947332889005,1.2841970457798783e-08,10453482536031.545,1848816831.58,1.4955121664955555,1.687853523653293e-15
211766.0,9.172139,5091675768253366.0,0.0049093236528402915,3.8010962080920354e-09,2725284067509.227,246444068.33,1.4955121664955555,1.8013988748435928e-15
19986.0,2.3464658,361234742590181.5,0.022221295576521256,1.7270999162395965e-08,3420933724073.453,553345293.11,1.4955121664955555,6.495681404216566e-15
94410.0,2.7272427,1234011857508413.8,0.0051873437961765904,4.015837712008669e-09,2347148551705.582,149083439.34,1.4955121664955555,2.2100619887936572e-15
37357.0,1.2462175,2634121271998873.0,1.3814871561555088e-05,9.905554260377091e-12,29200398044.66279,4779156.7,1.4955121664955555,4.73105590561638e-16
186167.0,5.2763753,4561120792460945.0,0.015693106176214094,1.1772559847344156e-08,13565781205637.018,1771604289.98,1.4955121664955555,1.156815515327131e-15
98948.0,0.3483813,309203547546092.94,0.0008484016754961699,6.860066511145796e-10,752993366198.0848,8701792.16,1.4955121664955555,1.1267053782688792e-15
56304.0,6.98138,1830447948114648.0,0.006646197420630813,4.769053959858588e-09,1742566431186.748,220822594.4,1.4955121664955555,3.8140281493340386e-15
175167.0,13.40013,6299667446394227.0,0.029022695385476874,2.1156377342757026e-08,13644145939368.096,2387715857.41,1.4955121664955555,2.1271170445147707e-15
104116.0,19.733786,1.4977932807548734e+16,0.014349852660783041,1.0122388285640655e-08,10891530340474.596,2339671492.19,1.4955121664955555,1.3175240037166117e-15
123486.0,7.315142,4738767932064724.0,0.007766531668697103,5.989832122968506e-09,5031179328437.775,826550173.75,1.4955121664955555,1.5436801516491917e-15
35345.0,2.799003,977873510929295.1,0.0018152057625876353,1.3245140523429112e-09,634169249593.7516,58396601.55,1.4955121664955555,2.8623364563173868e-15
216341.0,13.320032,1.8720076890914108e+16,0.011492894032756641,7.932749919098161e-09,16152202937074.945,2869983708.35,1.4955121664955555,7.115372483574012e-16
122080.0,36.899982,6403020929808919.0,0.04936157139081072,3.803598385230831e-08,8565401867773.761,2216199782.58,1.4955121664955555,5.762901980878139e-15
53960.0,9.097345,1.6920907712529108e+16,0.00727880087667203,5.587932645544724e-09,13538446424978.209,1141738426.45,1.4955121664955555,5.376393013043774e-16
91916.0,0.8862592,1122685353635322.0,0.0010981537529082153,7.696995545041191e-10,1391106726372.7312,282873651.15,1.4955121664955555,7.894101380500244e-16
64752.0,11.613381,3876118668030638.5,0.019394852677910454,1.4335318195767315e-08,6473287195912.433,801424963.37,1.4955121664955555,2.996136598134772e-15
56687.0,18.911127,2.5498330950867184e+16,0.02273560049005284,1.777285754729674e-08,30654961264977.254,2871938193.96,1.4955121664955555,7.416613674220446e-16
34596.0,26.814112,1.7137574100548548e+16,0.038713605441118626,3.086389291171132e-08,24742839962276.95,3370338612.51,1.4955121664955555,1.5646387197323174e-15
176239.0,9.71626,6885377715231264.0,0.015510278424624355,1.1800900636723993e-08,10991279095242.49,701484948.05,1.4955121664955555,1.4111440797948517e-15
25782.0,6.5565414,2.186541686590835e+16,0.0027842407931777126,2.0406224779695543e-09,9285167572936.854,1597475911.1,1.4955121664955555,2.9985897091322724e-16
57449.0,1.3267411,623702506622020.4,0.0013388686503481213,1.1602385141811138e-09,629403681893.7505,105269031.62,1.4955121664955555,2.1272018084160738e-15
121212.0,23.982584,1.7228492352158322e+16,0.018047588291360165,1.2894724363855943e-08,12964938926205.812,2391444898.95,1.4955121664955555,1.3920303361306917e-15
133191.0,34.23071,2.120410366634712e+16,0.041363331954994344,3.05520902100461e-08,25622383490124.17,4801134407.87,1.4955121664955555,1.6143436449203612e-15
90790.0,43.491653,4.7216100338442216e+16,0.046186428761319794,3.411941631606266e-08,50141645677822.1,4976796931.49,1.4955121664955555,9.211191243718648e-16
135455.0,22.945612,9577962155735574.0,0.024202160654895312,1.8352344279231966e-08,10102470957829.314,2288552669.58,1.4955121664955555,2.3956674318513017e-15
