,id,sfr,sfrd,sn,snr,snr_no_mass,snrd,mass,z,halo_volume
0,305703.0,1.7155472,918188042932777.5,7850.2210315752,1.188788718832795e-10,0.00018145185629734825,63625.85577392729,32737528.900000002,0.2613432561610123,1.868405075849587e-15
1,410975.0,7.992892,4849519138277407.0,37481.67812294121,9.413281724435662e-10,0.0012127993712302784,571131.073416827,262109781.93,0.2613432561610123,1.648182380993582e-15
2,282213.0,7.099558,7628230938391284.0,48359.07146359335,1.2191180466958982e-09,0.001577988411592184,1309900.419343965,170131128.05,0.2613432561610123,9.306952106378185e-16
3,357367.0,2.9366164,3350306874721942.5,12904.933941583246,3.662629575534088e-10,0.00048381972202128697,417859.583106318,62874878.06,0.2613432561610123,8.765216172156539e-16
4,323846.0,1.2285609,5625993213498331.0,11533.906537498186,2.5201050112248786e-10,0.0003125011795933752,1154040.7716421958,30071086.88,0.2613432561610123,2.1837226839384355e-16
5,116561.0,9.016866,5583336804417396.0,30679.208832537795,9.260785328160418e-10,0.001137783600536993,573437.4178403748,136086790.97,0.2613432561610123,1.6149600706276725e-15
6,221665.0,0.8569602,3853586314175974.5,2336.5224286316557,5.95796107639124e-11,6.413146148352155e-05,267918.1281041341,4555172.899999999,0.2613432561610123,2.223799157806711e-16
7,138701.0,26.496372,6261373783439902.0,122961.32830734606,3.0630574200314437e-09,0.00397081216568114,723832.9619978141,593099316.34,0.2613432561610123,4.231718615821607e-15
8,214443.0,8.22845,5376020581974596.0,52259.251338065165,1.0418415248544332e-09,0.001354924744028383,680682.4469703565,159252282.49,0.2613432561610123,1.530583797909813e-15
9,265278.0,1.5787096,1304343428748760.8,8130.622810311605,1.9594747557397546e-10,0.00027801043176400435,161893.4870256209,37064515.64,0.2613432561610123,1.210348107104304e-15
10,368022.0,1.345673,1650453070664806.8,7683.496095012413,1.8080007666560254e-10,0.00022258644751046593,221749.2969756963,33019903.94,0.2613432561610123,8.153355123620446e-16
11,274774.0,2.5101168,4925715288214385.0,4048.2216953493444,1.2413231949653082e-10,0.00017863605191436926,243590.4432437464,22619474.44,0.2613432561610123,5.095943742436522e-16
12,28548.0,18.041622,4999834709335212.0,144830.70305741893,3.5304413647308435e-09,0.004361796042577177,978383.3889577137,578240181.75,0.2613432561610123,3.6084436884112216e-15
13,420986.0,8.73003,6407117893094580.0,50765.815574837645,1.2831983429891188e-09,0.001689357232335662,941761.1467262884,367537826.0,0.2613432561610123,1.3625517971830973e-15
14,370390.0,0.22140676,310135510715676.94,898.3648166160514,2.507239723868454e-11,2.2961892643123764e-05,35120.159486032666,1992613.1,0.2613432561610123,7.139032853383217e-16
15,384783.0,1.6588141,1519635211767155.8,8620.92219542383,1.7886601057248044e-10,0.0002321834559396371,163858.67943506004,45686983.18,0.2613432561610123,1.091587038228073e-15
16,379185.0,5.4949837,3127369317207128.5,45669.26312647384,9.770369257058587e-10,0.0012827119909274922,556062.6691633104,204343705.13,0.2613432561610123,1.7570626116224898e-15
17,283524.0,3.82481,1998730520228252.8,29728.25632484375,7.570718726805497e-10,0.0008868334088499226,395622.96112302906,137146098.74,0.2613432561610123,1.9136196507187026e-15
18,331588.0,1.7380838,4376379364073894.5,10734.836367281938,2.0718660369258441e-10,0.0002581427703073863,521682.0828275268,47561306.76,0.2613432561610123,3.9715108207211007e-16
19,137028.0,1.3324801,3074784826358044.0,2784.2457029741313,4.93978419458018e-11,6.589593677196685e-05,113988.74540023846,6189991.399999999,0.2613432561610123,4.3335718603056455e-16
20,202795.0,4.3769746,8231671887936630.0,19420.69357058056,6.933325169270152e-10,0.000821565373932394,1303933.952136816,227457316.88,0.2613432561610123,5.317236473448825e-16
21,386513.0,1.9901133,2469306835660421.0,4236.576250386719,7.142240095754711e-11,0.00010411109606919731,88619.99108480431,18478875.66,0.2613432561610123,8.059400602872993e-16
