,id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume
0,52597.0,11.721052,1.6878934970215978e+16,0.07304290764281819,5.770642407721678e-08,105185651265656.02,4724547668.25,2.8957850057274284,6.944189322775749e-16
1,20925.0,14.855804,1.4053520573660622e+16,0.0464755846630551,3.857500436851452e-08,43965684067664.8,1527309598.95,2.8957850057274284,1.0570877184926197e-15
2,30961.0,98.81291,4.767106190009583e+16,0.20976302164090868,1.6820710282748405e-07,101197566077093.55,7552909712.52,2.8957850057274284,2.0728069831354306e-15
3,129317.0,4.336176,7417938051235958.0,0.007536393815359943,5.799307380429775e-09,12892581493937.945,217185494.73,2.8957850057274284,5.845527382474591e-16
4,21994.0,4.4631395,2794118786069240.0,0.18338240124269928,1.4424255817337403e-07,114805332064281.94,16331440776.9,2.8957850057274284,1.5973334856957653e-15
5,61313.0,40.142708,3.7313277418671784e+16,0.15167137765102448,1.2355355990896094e-07,140980927115450.53,5968050719.19,2.8957850057274284,1.0758290554212306e-15
6,61993.0,21.984505,4.631117532760444e+16,0.11842615924321681,9.42890375167078e-08,249469097625232.75,4678761093.67,2.8957850057274284,4.747127414599607e-16
7,60246.0,33.73324,3.2965032281889988e+16,0.10834519749190134,8.824852155331324e-08,105877850242321.05,4054883013.38,2.8957850057274284,1.0233037150256954e-15
8,23284.0,110.79817,3.5923422770034984e+16,0.333545385729624,2.6330292824526163e-07,108143409810465.97,15794014354.01,2.8957850057274284,3.084287672399099e-15
9,82833.0,7.2395315,8540559085368469.0,0.02259024655240968,1.7842879038458592e-08,26649975268965.434,841788345.88,2.8957850057274284,8.476648223653922e-16
10,48380.0,33.024162,1.5756336588598246e+16,0.1237373537508399,1.0421276459360491e-07,59036998252391.18,6234883723.92,2.8957850057274284,2.0959289498738725e-15
11,58944.0,16.560879,3.023962613745881e+16,0.050675773708247066,3.922588769816996e-08,92532313723435.56,3265927007.46,2.8957850057274284,5.47654885834898e-16
12,18094.0,58.07253,1.775758209625711e+16,0.5381222972322537,4.3950651574378747e-07,164548554556314.6,19885843571.12,2.8957850057274284,3.2702948906675957e-15
13,21709.0,37.47592,1.6098948628378364e+16,0.14492976709223843,1.1702516162117511e-07,62259095310823.25,9406725312.82,2.8957850057274284,2.327848908961636e-15
14,141856.0,2.4731371,4539225458443502.0,0.0010668382635398233,7.919840549499938e-10,1958087728295.2178,33498004.45,2.8957850057274284,5.44836805891558e-16
15,62862.0,47.08405,1.141914333361126e+17,0.12603755670314354,1.0732158858121838e-07,305674835833228.6,5541016556.11,2.8957850057274284,4.123255889205994e-16
16,48928.0,25.306845,2.8217177564901804e+16,0.09233917648191918,7.080016057525363e-08,102958347395225.22,8055735194.55,2.8957850057274284,8.968595438644491e-16
17,11279.0,33.94173,2.3182700044093196e+16,0.10829695890180295,8.923075328513685e-08,73968413333910.39,4579536353.95,2.8957850057274284,1.4640973629233552e-15
18,81197.0,16.281395,1.0251270906817248e+16,0.061690535407680595,4.9843084108083117e-08,38842273088438.39,2983399892.05,2.8957850057274284,1.5882318541765032e-15
19,80441.0,31.48598,4.701056311376221e+16,0.10522818031823371,8.572146051758907e-08,157112340546385.28,5267263073.47,2.8957850057274284,6.697639405808898e-16
