,id,sfr,sfrd,sn,snr,snrd,mass,z,halo_volume
0,4388.0,1.1154121,7039501605513385.0,929.2600612898175,6.432668543736974e-11,405973.5459331298,16961399.26,7.23627606616736,1.584504361965628e-16
1,31267.0,0.23135507,7393461404587948.0,40.57947055858422,6.936546031735847e-13,22167.262367229156,1091429.8,7.23627606616736,3.129184793693988e-17
2,40490.0,0.16650063,7443533811465935.0,0.0,0.0,0.0,1494071.2,7.23627606616736,2.236849246839241e-17
3,18173.0,0.8868518,1.9658717461840636e+16,563.1596747415786,1.899317447038028e-11,421018.99169246835,17733583.8,7.23627606616736,4.511239360967775e-17
4,14701.0,0.6802212,7304219730019051.0,1043.1280649344685,4.035390422699455e-11,433320.4896261874,37627014.6,7.23627606616736,9.312715459591271e-17
5,20926.0,0.3309806,7955597538688767.0,450.1987544696748,1.5806230570422093e-11,379925.61806340655,5997208.8,7.23627606616736,4.160348715359373e-17
6,9505.0,1.077247,8971604662208275.0,1228.1303202708,7.859583902264164e-11,654567.4258602741,35776745.14,7.23627606616736,1.2007294576161652e-16
7,61677.0,0.24163167,8441860362064968.0,67.79031914825129,1.0539540577048185e-12,36821.88259169769,3003820.1,7.23627606616736,2.862303563866275e-17
8,11556.0,1.1797919,1.1858542960084934e+16,908.858388476931,5.73408056853722e-11,576354.531325286,23145430.0,7.23627606616736,9.948877395571284e-17
9,967.0,7.080818,1.8269450279344172e+16,9680.283118914618,5.604541875042778e-10,1446046.193033014,215938447.25,7.23627606616736,3.875769599923717e-16
10,5172.0,1.7095388,6787755864132385.0,956.1870813917047,6.859896246150358e-11,272373.46687976207,25782228.0,7.23627606616736,2.5185625915532457e-16
11,8685.0,1.1701957,9450894194770898.0,1729.2435736638104,1.4089569314959524e-10,1137921.0233431307,35622043.86,7.23627606616736,1.2381851662750175e-16
12,3763.0,2.0333335,9070829644014650.0,2720.0389826181045,1.2910179731031344e-10,575931.3020406943,119121025.36,7.23627606616736,2.2416179994535413e-16
13,12945.0,0.58151215,6219561400821710.0,82.00837746900262,1.1900026405642097e-11,127276.69559662802,6490620.9,7.23627606616736,9.349729225652027e-17
14,1914.0,4.7488427,1.2719765804374594e+16,6027.482632820817,3.619983757925672e-10,969611.9354817627,146566432.65,7.23627606616736,3.7334356410609173e-16
15,38409.0,0.15525772,4569396260911955.0,103.12548699091363,4.839045298907858e-12,142418.13866140207,3473334.8,7.23627606616736,3.397773165967747e-17
16,10606.0,0.45937482,5260121994141288.0,8.657141798935072,9.445731350298108e-14,1081.5938763568488,3323866.6399999997,7.23627606616736,8.733159050524886e-17
17,20639.0,0.35772496,6178752134050600.0,123.22903492762332,1.714437680021536e-12,29612.374473757227,3936581.5,7.23627606616736,5.789598809581742e-17
18,507.0,8.539183,1.2831958830912394e+16,19383.44066393316,1.121448991687263e-09,1685218.280519246,649223072.99,7.23627606616736,6.654621568321254e-16
19,12871.0,0.95046383,9099655062941442.0,761.5944507517437,5.983154211274606e-11,572821.7928186114,38409600.3,7.23627606616736,1.0445053394065299e-16
20,19788.0,0.24438666,4742007446186680.0,8.987630143326,8.77026609034926e-14,1701.756843253013,3085097.5999999996,7.23627606616736,5.1536540752698587e-17
21,4972.0,0.80610347,6394414585583485.0,59.09295768292246,1.24556871049437e-12,9880.47195694569,4442891.5,7.23627606616736,1.260636856135977e-16
22,12989.0,0.31339923,3979965043937025.5,81.60368161022134,1.7638180615914184e-12,22399.33464099005,2359228.74,7.23627606616736,7.874421673060274e-17
23,7379.0,3.9935718,2.8734370369929264e+16,2326.7645940292564,1.3640819052844994e-10,981478.1514974536,98464623.37,7.23627606616736,1.389824015138088e-16
24,22852.0,0.14378187,4534405575466438.0,10.702940374068536,8.162993010825011e-14,2574.338546353479,2038761.2,7.23627606616736,3.170908901002083e-17
