,0,mass
5235,1168.8803098270905,8.004400880176036
5236,1158.7152581915725,8.034206841368274
5237,1148.675757861817,8.064012802560512
5238,1138.7598026185726,8.09381876375275
5239,1128.9654255258035,8.123624724944989
5240,1119.2906980210491,8.153430686137227
5241,1109.7337290300802,8.183236647329466
5242,1100.29266410511,8.213042608521704
5243,1090.9656845858551,8.242848569713942
5244,1081.751006782757,8.27265453090618
5245,1072.6468811817062,8.302460492098419
5246,1063.6515916696208,8.332266453290657
5247,1054.7634547802693,8.362072414482896
5248,1045.9808189597309,8.391878375675134
5249,1037.3020638509206,8.421684336867372
5250,1028.725599596613,8.45149029805961
5251,1020.2498661604287,8.481296259251849
5252,1011.8733326652559,8.511102220444087
5253,1003.5944967486014,8.540908181636327
5254,995.411883934382,8.570714142828566
5255,987.3240470206769,8.600520104020804
5256,979.3295654829878,8.630326065213042
5257,971.4270448925603,8.66013202640528
5258,963.6151163493319,8.689937987597519
5259,955.8924359290972,8.719743948789757
5260,948.257684144481,8.749549909981997
5261,940.7095654193323,8.779355871174236
5262,933.2468075761586,8.809161832366474
5263,925.8681613362347,8.838967793558712
5264,918.5723998320339,8.86877375475095
5265,911.3583181316335,8.898579715943189
5266,904.2247327747632,8.928385677135427
5267,897.1704813201763,8.958191638327666
5268,890.1944219040251,8.987997599519904
5269,883.2954328089443,9.017803560712142
5270,876.4724120435425,9.04760952190438
5271,869.7242769320214,9.077415483096619
5272,863.0499637136445,9.107221444288857
5273,856.4484271517864,9.137027405481096
5274,849.9186401523074,9.166833366673334
5275,843.4595933909962,9.196639327865572
5276,837.0702949498414,9.22644528905781
5277,830.7497699618913,9.256251250250049
5278,824.4970602644753,9.286057211442287
5279,818.3112240605609,9.315863172634527
5280,812.191335588034,9.345669133826766
5281,806.1364847966872,9.375475095019004
5282,800.1457770327198,9.405281056211242
5283,794.2183327305435,9.43508701740348
5284,788.3532871117101,9.464892978595719
5285,782.5497898907687,9.494698939787957
5286,776.8070049878752,9.524504900980196
5287,771.1241102479776,9.554310862172434
5288,765.5002971664057,9.584116823364672
5289,759.9347706207024,9.61392278455691
5290,754.4267486085323,9.643728745749149
5291,748.9754619915151,9.673534706941387
5292,743.5801542448293,9.703340668133626
5293,738.2400812124406,9.733146629325864
5294,732.9545108678112,9.762952590518104
5295,727.7227230799529,9.792758551710342
5296,722.5440093846839,9.82256451290258
5297,717.417672760964,9.852370474094819
5298,712.3430274121782,9.882176435287057
5299,707.319398552243,9.911982396479296
5300,702.346122196417,9.941788357671534
5301,697.422544956699,9.971594318863772
5302,692.5480238416964,10.00140028005601
5303,687.7219260608589,10.031206241248249
5304,682.9436288329632,10.061012202440487
5305,678.2125191987494,10.090818163632726
5306,673.5279938376033,10.120624124824964
5307,668.8894588881891,10.150430086017202
5308,664.2963297729328,10.18023604720944
5309,659.7480310262657,10.21004200840168
5310,655.2439961265337,10.239847969593919
5311,650.7836673314863,10.269653930786157
5312,646.3664955172572,10.299459891978396
5313,641.9919400207551,10.329265853170634
5314,637.6594684853782,10.359071814362872
5315,633.3685567099787,10.38887777555511
5316,629.1186885009953,10.418683736747349
5317,624.9093555276802,10.448489697939587
5318,620.7400571803482,10.478295659131826
5319,616.6103004315743,10.508101620324064
5320,612.519599700271,10.537907581516302
5321,608.4674767185795,10.56771354270854
5322,604.4534604015063,10.597519503900779
5323,600.4770867192414,10.627325465093017
5324,596.5378985720979,10.657131426285257
5325,592.6354456680098,10.686937387477496
5326,588.7692844025273,10.716743348669734
5327,584.9389777412574,10.746549309861972
5328,581.1440951046873,10.77635527105421
5329,577.384212255339,10.806161232246449
5330,573.658911187202,10.835967193438687
5331,569.9677800173896,10.865773154630926
5332,566.3104128799712,10.895579115823164
5333,562.686409821928,10.925385077015402
5334,559.0953767011868,10.95519103820764
5335,555.5369250866826,10.984996999399879
5336,552.0106721604055,11.014802960592117
5337,548.5162406213877,11.044608921784356
5338,545.0532585915852,11.074414882976594
5339,541.6213595236134,11.104220844168834
5340,538.2201821102959,11.134026805361072
5341,534.8493701959829,11.16383276655331
5342,531.5085726896043,11.19363872774555
5343,528.1974434794153,11.223444688937787
5344,524.9156413493993,11.253250650130026
5345,521.6628298972915,11.283056611322264
5346,518.4386774541867,11.312862572514502
5347,515.2428570056966,11.34266853370674
5348,512.0750461146237,11.372474494898979
5349,508.93492684511864,11.402280456091217
5350,505.82218568828773,11.432086417283456
5351,502.7365134892199,11.461892378475694
5352,499.67760537540244,11.491698339667932
5353,496.64516068649584,11.52150430086017
5354,493.63888290543764,11.55131026205241
5355,490.65847959084766,11.58111622324465
5356,487.7036623107059,11.610922184436888
5357,484.774146577277,11.640728145629126
5358,481.86965178325386,11.670534106821364
5359,478.9899011390947,11.700340068013602
5360,476.13462161152904,11.73014602920584
5361,473.3035438632061,11.75995199039808
5362,470.49640219346435,11.789757951590317
5363,467.7129344801953,11.819563912782556
5364,464.9528821227815,11.849369873974794
5365,462.21598998608465,11.879175835167032
5366,459.5020063454622,11.90898179635927
5367,456.8106828327917,11.93878775755151
5368,454.1417743834808,11.968593718743747
5369,451.49503918444344,11.998399679935988
5370,448.87023862302243,12.028205641128226
5371,446.26713723683775,12.058011602320464
5372,443.68550266454224,12.087817563512703
5373,441.12510559746687,12.11762352470494
5374,438.58571973213617,12.14742948589718
5375,436.06712172363615,12.177235447089418
5376,433.5690911398184,12.207041408281656
5377,431.0914104163221,12.236847369473894
5378,428.6338648123986,12.266653330666133
5379,426.1962423675213,12.29645929185837
5380,423.77833385876517,12.32626525305061
5381,421.3799327589418,12.356071214242847
5382,419.0008351954723,12.385877175435086
5383,416.640839909986,12.415683136627324
5384,414.29974821862805,12.445489097819564
5385,411.97736397306414,12.475295059011803
5386,409.67349352216576,12.505101020204041
5387,407.38794567436537,12.53490698139628
5388,405.12053166066624,12.564712942588518
5389,402.87106509829476,12.594518903780756
5390,400.63936195498246,12.624324864972994
5391,398.4252405138657,12.654130826165233
5392,396.22852133898994,12.68393678735747
5393,394.04902724140845,12.71374274854971
5394,391.88658324586225,12.743548709741948
5395,389.74101655803025,12.773354670934186
5396,387.6121565323406,12.803160632126424
5397,385.4998346403278,12.832966593318663
5398,383.40388443953105,12.8627725545109
5399,381.32414154291797,12.89257851570314
5400,379.2604435888269,12.92238447689538
5401,377.2126302114166,12.952190438087618
5402,375.1805430116138,12.981996399279856
5403,373.16402552854885,13.011802360472094
5404,371.1629232114716,13.041608321664333
5405,369.17708339213533,13.071414282856571
5406,367.2063552576436,13.10122024404881
5407,365.2505898237485,13.131026205241048
5408,363.30963990859243,13.160832166433286
5409,361.3833601068862,13.190638127625524
5410,359.471606764514,13.220444088817763
5411,357.57423795355663,13.250250050010001
5412,355.6911134477283,13.28005601120224
5413,353.82209469821447,13.309861972394478
5414,351.96704480990843,13.339667933586716
5415,350.1258285180345,13.369473894778956
5416,348.2983121651548,13.399279855971194
5417,346.48436367854873,13.429085817163433
5418,344.68385254796164,13.458891778355671
5419,342.8966498037133,13.48869773954791
5420,341.12262799516105,13.518503700740148
5421,339.3616611695108,13.548309661932386
5422,337.61362485096936,13.578115623124624
5423,335.8783960202311,13.607921584316863
5424,334.15585309429497,13.637727545509101
5425,332.4458759066035,13.66753350670134
5426,330.74834568749975,13.697339467893578
5427,329.06314504499466,13.727145429085816
5428,327.39015794584174,13.756951390278054
5429,325.72926969691025,13.786757351470293
5430,324.0803669268552,13.816563312662533
5431,322.44333756807515,13.846369273854771
5432,320.81807083895575,13.87617523504701
5433,319.2044572263917,13.905981196239248
5434,317.60238846858414,13.935787157431486
5435,316.0117575381061,13.965593118623724
5436,314.4324586252339,13.995399079815963
5437,312.8643871215379,14.025205041008201
5438,311.30743960372905,14.05501100220044
5439,309.76151381775526,14.084816963392678
5440,308.22650866314615,14.114622924584916
5441,306.70232417759826,14.144428885777154
5442,305.1888615217985,14.174234846969393
5443,303.6860229644824,14.204040808161631
5444,302.1937118677204,14.23384676935387
5445,300.71183267243117,14.26365273054611
5446,299.2402908841159,14.293458691738348
5447,297.7789930588105,14.323264652930586
5448,296.32784678925236,14.353070614122824
5449,294.88676069125717,14.382876575315063
5450,293.4556443903023,14.412682536507301
5451,292.0344085083143,14.44248849769954
5452,290.622964650655,14.472294458891778
5453,289.22122539330456,14.502100420084016
5454,287.82910427023774,14.531906381276254
5455,286.44651576098886,14.561712342468493
5456,285.07337527840434,14.591518303660731
5457,283.7095991565775,14.62132426485297
5458,282.35510463896446,14.651130226045208
5459,281.00980986667616,14.680936187237446
5460,279.67363386694524,14.710742148429686
5461,278.34649654176377,14.740548109621924
5462,277.02831865668946,14.770354070814163
5463,275.71902182981694,14.800160032006401
5464,274.41852852091216,14.82996599319864
5465,273.1267620207068,14.859771954390878
5466,271.8436464403494,14.889577915583116
5467,270.569106701012,14.919383876775354
5468,269.3030685236481,14.949189837967593
5469,268.04545841890075,14.978995799159831
5470,266.79620367715756,15.00880176035207
5471,265.55523235875035,15.038607721544308
5472,264.32247328429713,15.068413682736546
5473,263.09785602518417,15.098219643928784
5474,261.8813108941854,15.128025605121023
5475,260.6727689362173,15.157831566313263
5476,259.4721619192277,15.187637527505501
5477,258.2794223252141,15.21744348869774
5478,257.09448334137227,15.247249449889978
5479,255.91727885137072,15.277055411082216
5480,254.74774342675042,15.306861372274454
5481,253.58581231844695,15.336667333466693
5482,252.43142144843338,15.366473294658931
5483,251.28450740148202,15.39627925585117
5484,250.14500741704265,15.426085217043408
5485,249.01285938123655,15.455891178235646
5486,247.88800181896238,15.485697139427884
5487,246.77037388611473,15.515503100620123
5488,245.6599153619112,15.545309061812361
5489,244.55656664132755,15.5751150230046
5490,243.46026872763923,15.60492098419684
5491,242.37096322506707,15.634726945389078
5492,241.28859233152514,15.664532906581316
5493,240.2130988314709,15.694338867773554
5494,239.14442608885355,15.724144828965793
5495,238.0825180401614,15.753950790158031
5496,237.02731918756484,15.78375675135027
5497,235.9787745921546,15.813562712542508
5498,234.93682986727322,15.843368673734746
5499,233.90143117193855,15.873174634926984
5500,232.87252520435766,15.902980596119223
5501,231.85005919552975,15.932786557311461
5502,230.83398090293696,15.9625925185037
5503,229.82423860432115,15.992398479695938
5504,228.82078109154617,16.022204440888174
5505,227.82355766454307,16.052010402080416
5506,226.83251812533885,16.081816363272655
5507,225.84761277216478,16.111622324464893
5508,224.86879239364563,16.14142828565713
5509,223.8960082630675,16.17123424684937
5510,222.9292121327226,16.201040208041608
5511,221.96835622833052,16.230846169233846
5512,221.0133932435345,16.260652130426084
5513,220.06427633447188,16.290458091618323
5514,219.12095911441676,16.32026405281056
5515,218.18339564849518,16.3500700140028
5516,217.25154044846994,16.379875975195038
5517,216.32534846759577,16.409681936387276
5518,215.40477509554265,16.439487897579514
5519,214.4897761533865,16.469293858771753
5520,213.5803078886662,16.499099819963995
5521,212.67632697050678,16.528905781156233
5522,211.77779048480602,16.55871174234847
5523,210.88465592948504,16.58851770354071
5524,209.9968812098017,16.618323664732948
5525,209.11442463372504,16.648129625925186
5526,208.23724490737092,16.677935587117425
5527,207.36530113049685,16.707741548309663
5528,206.49855279205636,16.7375475095019
5529,205.63695976581104,16.76735347069414
5530,204.78048230599953,16.797159431886378
5531,203.92908104306343,16.826965393078616
5532,203.082716979428,16.856771354270855
5533,202.24135148533819,16.886577315463093
