start
end
         79616896 function calls (79561187 primitive calls) in 53.050 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:842(validation)
      135    0.000    0.000    0.000    0.000 _internal.py:853(_ufunc_doc_signature_formatter)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:3026(sample)
        1    0.000    0.000    0.000    0.000 interval.py:183(IntervalArray)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _multiufuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        2    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string.py:45(ExprStringNameSpace)
        4    0.000    0.000    0.000    0.000 arrayprint.py:979(__init__)
        4    0.000    0.000    0.000    0.000 warnings.py:120(_formatwarnmsg)
        1    0.000    0.000    0.000    0.000 html.py:1(<module>)
       60    0.000    0.000    0.000    0.000 pathlib.py:380(with_segments)
       17    0.000    0.000    0.000    0.000 generic.py:37(create_pandas_abc_type)
        1    0.000    0.000    0.000    0.000 dtypes.py:717(DatetimeTZDtype)
      5/4    0.000    0.000    0.000    0.000 std.py:663(__new__)
        2    0.000    0.000    0.000    0.000 ext.py:1(<module>)
      132    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
      208    0.000    0.000    0.000    0.000 inspect.py:330(isdatadescriptor)
        8    0.000    0.000    0.000    0.000 managers.py:2466(_merge_blocks)
       46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        4    0.000    0.000    0.000    0.000 common.py:641(check_parent_directory)
      148    0.000    0.000    0.000    0.000 tokenize.py:468(tokenize)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
       61    0.000    0.000    0.000    0.000 _internal.py:15(get_xp)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
  171/144    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
     1404    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _cursor_proxies.py:1(<module>)
       13    0.000    0.000    0.000    0.000 expr.py:196(_filter_nodes)
        4    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
    20/16    0.000    0.000    0.000    0.000 missing.py:97(isna)
       66    0.000    0.000    0.000    0.000 __init__.py:675(joinpath)
        3    0.000    0.000    0.000    0.000 expr.py:288(disallowed)
       68    0.000    0.000    0.000    0.000 __init__.py:757(normalize)
        1    0.000    0.000    0.000    0.000 sysconfig.py:453(get_makefile_filename)
      516    0.000    0.000    0.000    0.000 utils.py:370(_term_move_up)
        4    0.000    0.000    0.000    0.000 arrayprint.py:1005(fillFormat)
     1396    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
       45    0.000    0.000    0.000    0.000 accessor.py:122(_create_delegator_method)
      106    0.000    0.000    0.000    0.000 typing.py:1004(_typevar_subst)
       96    0.000    0.000    0.000    0.000 pydoc.py:95(_findclass)
      397    0.000    0.000    0.000    0.000 enum.py:784(__delattr__)
      186    0.000    0.000    0.000    0.000 typing.py:988(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _ufunc_config.py:496(inner)
        1    0.000    0.000    0.000    0.000 _mixins.py:94(NDArrayBackedExtensionArray)
     1168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1577(<genexpr>)
      680    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
        1    0.000    0.000    0.000    0.000 base_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 as_datatype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 date_range.py:1(<module>)
        1    0.000    0.000    0.000    0.000 align.py:1(<module>)
      562    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
     3496    0.000    0.000    0.000    0.000 inspect.py:3089(parameters)
       33    0.000    0.000    0.000    0.000 coroutines.py:20(iscoroutinefunction)
    20/16    0.000    0.000    0.000    0.000 missing.py:180(_isna)
       12    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:733(validate)
      123    0.000    0.000    0.000    0.000 expr.py:200(<genexpr>)
        2    0.000    0.000    0.000    0.000 sysconfig.py:188(_safe_realpath)
       10    0.000    0.000    0.000    0.000 _monitor.py:47(get_instances)
        4    0.000    0.000    0.000    0.000 string_.py:913(astype)
      838    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
        6    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:3317(_moment_standardized_normalize)
      295    0.000    0.000    0.000    0.000 _distn_infrastructure.py:846(<genexpr>)
      304    0.000    0.000    0.000    0.000 generic.py:43(_instancecheck)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:423(realpath)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocks.py:1(<module>)
        4    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
       14    0.000    0.000    0.000    0.000 __init__.py:199(split)
        1    0.000    0.000    0.000    0.000 timeouts.py:26(Timeout)
        1    0.000    0.000    0.000    0.000 period.py:82(PeriodIndex)
      358    0.000    0.000    0.000    0.000 function_base.py:456(_needs_add_docstring)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2403(kurtosis)
       33    0.000    0.000    0.000    0.000 docstrings.py:8(make_flex_doc)
        4    0.000    0.000    0.000    0.000 format.py:425(__init__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
      258    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
        1    0.000    0.000    0.000    0.000 _ni_docstrings.py:1(<module>)
      4/2    0.000    0.000    0.000    0.000 <frozen posixpath>:432(_joinrealpath)
        2    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runners.py:1(<module>)
      564    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       61    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
        7    0.000    0.000    0.000    0.000 feedparser.py:100(push)
        4    0.000    0.000    0.000    0.000 _polynomial_impl.py:1248(__init__)
       65    0.000    0.000    0.000    0.000 functools.py:482(lru_cache)
       77    0.000    0.000    0.000    0.000 enum.py:1007(_find_data_type_)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        4    0.000    0.000    0.000    0.000 generic.py:4308(_slice)
     2325    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
      264    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
      170    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       21    0.000    0.000    0.000    0.000 std.py:113(__exit__)
        8    0.000    0.000    0.000    0.000 _multiufuncs.py:25(__init__)
        1    0.000    0.000    0.000    0.000 _testutils.py:1(<module>)
       33    0.000    0.000    0.000    0.000 inspect.py:427(iscoroutinefunction)
        1    0.000    0.000    0.000    0.000 common.py:1244(_get_binary_io_classes)
     1132    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.000    0.000 extension.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _qmc.py:802(QMCEngine)
        1    0.000    0.000    0.000    0.000 multi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 doccer.py:263(filldoc)
        4    0.000    0.000    0.000    0.000 linecache.py:26(getline)
        1    0.000    0.000    0.000    0.000 _calamine.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2400(skewness)
        1    0.000    0.000    0.000    0.000 dtypes.py:987(PeriodDtype)
        6    0.000    0.000    0.000    0.000 pathlib.py:731(parent)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
1266/1188    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       50    0.000    0.000    0.000    0.000 core.py:933(__init__)
       12    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:357(contains)
        2    0.000    0.000    0.000    0.000 _new_distributions.py:51(__init__)
       11    0.000    0.000    0.000    0.000 typing.py:1485(copy_with)
      261    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 doccer.py:292(unindent_dict)
        9    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 dates.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:862(_create_)
        1    0.000    0.000    0.000    0.000 _crosstab.py:1(<module>)
       21    0.000    0.000    0.000    0.000 std.py:110(__enter__)
      816    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 pydoc.py:494(Doc)
        1    0.000    0.000    0.000    0.000 tz.py:1552(__call__)
        1    0.000    0.000    0.000    0.000 arraylike.py:1(<module>)
       38    0.000    0.000    0.000    0.000 enum.py:1034(_find_new_)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _scimath_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3411(__init__)
      155    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 integer.py:1(<module>)
        2    0.000    0.000    0.000    0.000 threading.py:884(__init__)
        4    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.000    0.000 parsing.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2394(variance)
    445/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
     1138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
       52    0.000    0.000    0.000    0.000 frame.py:4326(_iter_column_arrays)
       15    0.000    0.000    0.000    0.000 doccer.py:311(unindent_string)
        1    0.000    0.000    0.000    0.000 datetime.py:34(DateTimeNameSpace)
       22    0.000    0.000    0.000    0.000 config.py:143(get_option)
       52    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
        2    0.000    0.000    0.000    0.000 sysconfig.py:263(_extend_dict)
       10    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        2    0.000    0.000    0.000    0.000 _multivariate.py:2724(__init__)
       12    0.000    0.000    0.000    0.000 managers.py:2436(_stack_arrays)
        1    0.000    0.000    0.000    0.000 datetimelike.py:200(DatetimeLikeArrayMixin)
     2633    0.000    0.000    0.000    0.000 inspect.py:2800(default)
        1    0.000    0.000    0.000    0.000 _polyint.py:1(<module>)
      316    0.000    0.000    0.000    0.000 pydoc.py:156(_getowndoc)
      133    0.000    0.000    0.000    0.000 expr.py:189(<genexpr>)
      756    0.000    0.000    0.000    0.000 glob.py:108(<genexpr>)
        1    0.000    0.000    0.000    0.000 check.py:1(<module>)
     1897    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        4    0.000    0.000    0.000    0.000 typing.py:1546(__getitem__)
    20/16    0.000    0.000    0.000    0.000 missing.py:223(_isna_array)
        1    0.000    0.000    0.000    0.000 timedeltas.py:111(TimedeltaArray)
       32    0.000    0.000    0.000    0.000 functools.py:855(register)
      152    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 selectn.py:1(<module>)
     1256    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
     1176    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:81(_make_selector)
        1    0.000    0.000    0.000    0.000 linecache.py:83(updatecache)
        1    0.000    0.000    0.000    0.000 base.py:323(Index)
      6/5    0.000    0.000    0.000    0.000 threading.py:323(wait)
       19    0.000    0.000    0.000    0.000 base.py:563(find)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 datatype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:193(__init__)
     1315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
       62    0.000    0.000    0.000    0.000 numeric.py:323(full)
        4    0.000    0.000    0.000    0.000 _function_base_impl.py:1940(trim_zeros)
        2    0.000    0.000    0.000    0.000 _new_distributions.py:463(__init__)
        1    0.000    0.000    0.000    0.000 base_parser.py:86(ParserBase)
        1    0.000    0.000    0.000    0.000 projections.py:1(<module>)
       66    0.000    0.000    0.000    0.000 _axis_nan_policy.py:347(_axis_nan_policy_factory)
        1    0.000    0.000    0.000    0.000 arraylike.py:33(OpsMixin)
      143    0.000    0.000    0.000    0.000 tokenize.py:577(_generate_tokens_from_c_tokenizer)
       16    0.000    0.000    0.000    0.000 sysconfig.py:254(_subst_vars)
      111    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
       44    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        1    0.000    0.000    0.000    0.000 tz.py:1590(nocache)
      113    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.000    0.000 _ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:106(_compile_pattern)
        4    0.000    0.000    0.000    0.000 common.py:154(is_url)
        1    0.000    0.000    0.000    0.000 _decomp_cossin.py:1(<module>)
     3504    0.000    0.000    0.000    0.000 inspect.py:608(<lambda>)
        1    0.000    0.000    0.000    0.000 _arrow_registry.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _new_distributions.py:368(__init__)
        2    0.000    0.000    0.000    0.000 _version.py:149(__ge__)
     1689    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 async_.py:1(<module>)
      464    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 utils.py:34(envwrap)
      550    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        2    0.000    0.000    0.000    0.000 _version.py:112(_compare)
       46    0.000    0.000    0.000    0.000 inspect.py:1845(getattr_static)
        1    0.000    0.000    0.000    0.000 _vertex.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:95(copy)
        4    0.000    0.000    0.000    0.000 typing.py:1560(__getitem_inner__)
        2    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        2    0.000    0.000    0.000    0.000 group_by.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 python_parser.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _strptime.py:323(__seqToRE)
       48    0.000    0.000    0.000    0.000 frame.py:4316(_get_column_array)
       19    0.000    0.000    0.000    0.000 _continuous_distns.py:60(_call_super_mom)
       76    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       16    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _linalg.py:2417(lstsq)
        9    0.000    0.000    0.000    0.000 enum.py:1550(__or__)
       11    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
        2    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:3256(_moment_central_transform)
        4    0.000    0.000    0.000    0.000 arrayprint.py:846(_formatArray)
       16    0.000    0.000    0.000    0.000 take.py:292(_view_wrapper)
        1    0.000    0.000    0.000    0.000 utils.py:76(wrap)
       21    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:1127(_dispatch)
      219    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
       95    0.000    0.000    0.000    0.000 accessor.py:106(_create_delegator_property)
       16    0.000    0.000    0.000    0.000 functools.py:654(cache)
     1132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(get_filename)
        1    0.000    0.000    0.000    0.000 stata.py:715(StataMissingValue)
       24    0.000    0.000    0.000    0.000 managers.py:2454(<lambda>)
       80    0.000    0.000    0.000    0.000 typing.py:1088(<genexpr>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
       46    0.000    0.000    0.000    0.000 fromnumeric.py:48(_wrapfunc)
        4    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 _osx_support.py:331(_check_for_unavailable_sdk)
        1    0.000    0.000    0.000    0.000 _interpolate.py:286(__init__)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:1348(_generate_domain_support)
       12    0.000    0.000    0.000    0.000 doccer.py:161(_doc)
        5    0.000    0.000    0.000    0.000 ast.py:34(parse)
      919    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 _odfreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyarrow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 schema.py:1(<module>)
      304    0.000    0.000    0.000    0.000 generic.py:38(_check)
    24/22    0.000    0.000    0.000    0.000 ast.py:403(visit)
     20/4    0.000    0.000    0.000    0.000 arrayprint.py:855(recurser)
       12    0.000    0.000    0.000    0.000 blocks.py:179(_consolidate_key)
        1    0.000    0.000    0.000    0.000 _interface.py:1(<module>)
    30/24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 lines.py:1(<module>)
       48    0.000    0.000    0.000    0.000 managers.py:1219(iget_values)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      122    0.000    0.000    0.000    0.000 _compiler.py:472(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 signal.py:69(pthread_sigmask)
        1    0.000    0.000    0.000    0.000 generic.py:2108(DataFrameGroupBy)
      214    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
       20    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2016(_validate_order_kind)
       59    0.000    0.000    0.000    0.000 pathlib.py:447(__fspath__)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:415(<genexpr>)
      550    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        9    0.000    0.000    0.000    0.000 _util.py:933(decorator)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _covariance.py:1(<module>)
      649    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        4    0.000    0.000    0.000    0.000 csvs.py:279(_save_header)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        2    0.000    0.000    0.000    0.000 plugins.py:1(<module>)
      550    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        2    0.000    0.000    0.000    0.000 whenthen.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _strptime.py:101(__calc_month)
       38    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2391(mean)
        2    0.000    0.000    0.000    0.000 col.py:1(<module>)
       24    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:602(__init__)
      386    0.000    0.000    0.000    0.000 inspect.py:306(ismethod)
       15    0.000    0.000    0.000    0.000 _bunch.py:5(_validate_names)
      2/1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)
        2    0.000    0.000    0.000    0.000 pathlib.py:1005(open)
      394    0.000    0.000    0.000    0.000 typing.py:971(__hash__)
        2    0.000    0.000    0.000    0.000 __init__.py:685(zip_children)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _elementwise_iterative_method.py:29(_initialize)
      221    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      690    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
      351    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dependencies.py:80(__getattr__)
     1595    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 _multivariate.py:1728(__init__)
       48    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:120(update)
      304    0.000    0.000    0.000    0.000 _compiler.py:575(isstring)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1548(find_distributions)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2903(icdf)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _qmc.py:1960(PoissonDisk)
       85    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
     1132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:990(create_module)
        1    0.000    0.000    0.000    0.000 pytables.py:5022(AppendableMultiFrameTable)
        1    0.000    0.000    0.000    0.000 cast_options.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _plr.py:14(rt_compat)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:1(<module>)
       32    0.000    0.000    0.000    0.000 _arraypad_impl.py:471(_as_pairs)
        1    0.000    0.000    0.000    0.000 _dependencies.py:73(_import)
     1063    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        4    0.000    0.000    0.000    0.000 _function_base_impl.py:1897(_arg_trim_zeros)
        1    0.000    0.000    0.000    0.000 reduction.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1542(copy_with)
        1    0.000    0.000    0.000    0.000 polynomial.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _strptime.py:93(__calc_weekday)
        2    0.000    0.000    0.000    0.000 __init__.py:777(find_distributions)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.000    0.000 linear_space.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:153(Config)
      102    0.000    0.000    0.000    0.000 unstable.py:49(unstable)
       26    0.000    0.000    0.000    0.000 core.py:961(__init__)
        5    0.000    0.000    0.000    0.000 pathlib.py:870(is_dir)
        1    0.000    0.000    0.000    0.000 range.py:1(<module>)
       33    0.000    0.000    0.000    0.000 inspect.py:391(_has_code_flag)
        5    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2258(_support)
      281    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        4    0.000    0.000    0.000    0.000 cast.py:127(maybe_convert_platform)
        4    0.000    0.000    0.000    0.000 utils.py:213(__init__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:447(__init__)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        6    0.000    0.000    0.000    0.000 deprecation.py:83(decorate)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        1    0.000    0.000    0.000    0.000 _coo.py:1(<module>)
       20    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:2232(support)
       48    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:281(__init__)
        6    0.000    0.000    0.000    0.000 _strptime.py:192(__find_month_format)
        2    0.000    0.000    0.000    0.000 __init__.py:272(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:3215(_moment_central)
        1    0.000    0.000    0.000    0.000 ndjson.py:1(<module>)
       31    0.000    0.000    0.000    0.000 getlimits.py:178(__new__)
        2    0.000    0.000    0.000    0.000 function_base.py:27(linspace)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      383    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 _bsr.py:1(<module>)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        2    0.000    0.000    0.000    0.000 __init__.py:790(_search_paths)
        3    0.000    0.000    0.000    0.000 typing_extensions.py:670(__new__)
       46    0.000    0.000    0.000    0.000 inspect.py:1806(_check_class)
        1    0.000    0.000    0.000    0.000 tz.py:458(__init__)
       22    0.000    0.000    0.000    0.000 config.py:127(_get_single_key)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      191    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        7    0.000    0.000    0.000    0.000 numeric.py:1493(moveaxis)
       13    0.000    0.000    0.000    0.000 _dtype.py:342(_name_get)
        1    0.000    0.000    0.000    0.000 _plr.py:24(rt_64)
       70    0.000    0.000    0.000    0.000 _util.py:1118(_apply_over_batch)
       22    0.000    0.000    0.000    0.000 ast.py:419(visit_Constant)
       98    0.000    0.000    0.000    0.000 _strptime.py:338(<genexpr>)
       23    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:750(__init__)
       52    0.000    0.000    0.000    0.000 calendar.py:104(__getitem__)
      101    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
       12    0.000    0.000    0.000    0.000 __init__.py:695(mtime)
       16    0.000    0.000    0.000    0.000 inspect.py:801(_finddoc)
        2    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:3345(_moment_transform_center)
        1    0.000    0.000    0.000    0.000 core.py:6735(__new__)
        2    0.000    0.000    0.000    0.000 __init__.py:145(make)
        1    0.000    0.000    0.000    0.000 _polyint.py:537(BarycentricInterpolator)
        4    0.000    0.000    0.000    0.000 string_.py:756(_from_sequence)
        1    0.000    0.000    0.000    0.000 _data.py:1(<module>)
      213    0.000    0.000    0.000    0.000 types.py:192(__init__)
        6    0.000    0.000    0.000    0.000 _codata.py:2047(replace_exact)
        4    0.000    0.000    0.000    0.000 signal.py:72(<genexpr>)
        1    0.000    0.000    0.000    0.000 ext.py:17(ExprExtensionNameSpace)
        5    0.000    0.000    0.000    0.000 pathlib.py:835(stat)
        7    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 period.py:124(PeriodArray)
        1    0.000    0.000    0.000    0.000 doccer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 symbolic.py:45(Op)
        1    0.000    0.000    0.000    0.000 _qmc.py:1609(Sobol)
      281    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 plotting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
       28    0.000    0.000    0.000    0.000 calendar.py:123(__getitem__)
        1    0.000    0.000    0.000    0.000 csvs.py:1(<module>)
