start
end
         79616896 function calls (79561187 primitive calls) in 53.050 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   680268    0.184    0.000    0.284    0.000 {built-in method builtins.any}
    12080    0.024    0.000    0.282    0.000 frame.py:2279(collect)
     1132    0.003    0.000    0.275    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
   290696    0.053    0.000    0.272    0.000 _methods.py:64(_all)
   176900    0.143    0.000    0.260    0.000 _delegation.py:34(atleast_nd)
   470064    0.259    0.000    0.259    0.000 {method 'get_column' of 'builtins.PyDataFrame' objects}
   353809    0.143    0.000    0.256    0.000 _ufunc_config.py:472(__enter__)
      625    0.000    0.000    0.251    0.000 _docscrape.py:579(__init__)
1315/1314    0.001    0.000    0.247    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
   470064    0.239    0.000    0.239    0.000 {method 'to_numpy' of 'builtins.PySeries' objects}
      175    0.000    0.000    0.236    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
      175    0.235    0.001    0.236    0.001 {built-in method _imp.create_dynamic}
   176900    0.209    0.000    0.233    0.000 numeric.py:400(full_like)
        9    0.000    0.000    0.232    0.026 api.py:1(<module>)
    12080    0.230    0.000    0.230    0.000 {method 'collect' of 'builtins.PyLazyFrame' objects}
  1177738    0.227    0.000    0.227    0.000 {built-in method numpy.asanyarray}
      633    0.001    0.000    0.221    0.000 _docscrape.py:140(__init__)
   708116    0.145    0.000    0.221    0.000 series.py:470(_from_pyseries)
      474    0.002    0.000    0.219    0.000 _array_api.py:840(decorator)
   176908    0.090    0.000    0.219    0.000 _aliases.py:70(asarray)
   707800    0.129    0.000    0.208    0.000 numerictypes.py:293(issubclass_)
   353800    0.160    0.000    0.190    0.000 _helpers.py:957(is_writeable_array)
   176902    0.063    0.000    0.189    0.000 _aliases.py:97(astype)
     1132    0.001    0.000    0.179    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
     6771    0.002    0.000    0.168    0.000 frame.py:11699(rows)
     6771    0.166    0.000    0.166    0.000 {method 'row_tuples' of 'builtins.PyDataFrame' objects}
      633    0.004    0.000    0.166    0.000 _docscrape.py:388(_parse)
   530700    0.143    0.000    0.165    0.000 _helpers.py:72(_is_jax_zero_gradient_array)
   176900    0.106    0.000    0.164    0.000 _helpers.py:923(size)
  1384924    0.162    0.000    0.162    0.000 {built-in method builtins.iter}
  3364488    0.157    0.000    0.157    0.000 typing.py:2187(cast)
     1137    0.157    0.000    0.157    0.000 {method 'read' of '_io.BufferedReader' objects}
  175/121    0.000    0.000    0.156    0.001 <frozen importlib._bootstrap_external>:1299(exec_module)
  175/121    0.023    0.000    0.156    0.001 {built-in method _imp.exec_dynamic}
   940128    0.155    0.000    0.155    0.000 _distn_infrastructure.py:945(squeeze_left)
        1    0.000    0.000    0.154    0.154 distributions.py:1(<module>)
   238052    0.049    0.000    0.151    0.000 series.py:769(__len__)
     6040    0.011    0.000    0.151    0.000 frame.py:10262(select)
   353809    0.083    0.000    0.150    0.000 _ufunc_config.py:488(__exit__)
   235066    0.149    0.000    0.149    0.000 {built-in method builtins.round}
   356247    0.089    0.000    0.141    0.000 <frozen importlib._bootstrap>:645(parent)
   286984    0.097    0.000    0.137    0.000 classes.py:142(__eq__)
1040569/1040360    0.133    0.000    0.135    0.000 {built-in method __new__ of type object at 0x1023b8a30}
   353800    0.135    0.000    0.135    0.000 _continuous_distns.py:370(_norm_cdf)
   235032    0.093    0.000    0.133    0.000 getitem.py:182(_select_columns)
   262994    0.085    0.000    0.131    0.000 frame.py:556(_from_pydf)
   353800    0.075    0.000    0.131    0.000 fromnumeric.py:1596(squeeze)
        3    0.000    0.000    0.130    0.043 frame.py:1(<module>)
     3020    0.008    0.000    0.123    0.000 frame.py:10383(with_columns)
   707603    0.119    0.000    0.119    0.000 {method 'update' of 'set' objects}
   353815    0.080    0.000    0.117    0.000 _helpers.py:683(_check_device)
  1180915    0.116    0.000    0.116    0.000 {method 'items' of 'dict' objects}
  1421257    0.115    0.000    0.115    0.000 {method 'append' of 'list' objects}
   353800    0.099    0.000    0.115    0.000 _helpers.py:194(is_dask_array)
    15100    0.011    0.000    0.114    0.000 expr.py:86(parse_into_list_of_expressions)
   241316    0.054    0.000    0.109    0.000 {built-in method builtins.next}
  1116842    0.107    0.000    0.107    0.000 {built-in method builtins.issubclass}
   176947    0.104    0.000    0.104    0.000 {method 'astype' of 'numpy.ndarray' objects}
   677074    0.104    0.000    0.104    0.000 _stride_tricks_impl.py:24(_maybe_view_as_subclass)
   238052    0.060    0.000    0.102    0.000 series.py:5288(len)
   274701    0.046    0.000    0.099    0.000 <frozen abc>:117(__instancecheck__)
  1354144    0.098    0.000    0.098    0.000 _stride_tricks_impl.py:378(<genexpr>)
   235032    0.048    0.000    0.098    0.000 index_type.py:13(get_index_type)
        1    0.000    0.000    0.097    0.097 _reexport.py:1(<module>)
   176900    0.097    0.000    0.097    0.000 _continuous_distns.py:374(_norm_logcdf)
   235032    0.043    0.000    0.089    0.000 series.py:685(dtype)
1980/1817    0.013    0.000    0.087    0.000 {built-in method builtins.__build_class__}
        3    0.000    0.000    0.084    0.028 generic.py:1(<module>)
        1    0.000    0.000    0.084    0.084 _continuous_distns.py:1(<module>)
     1132    0.029    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        2    0.000    0.000    0.082    0.041 _support_alternative_backends.py:1(<module>)
    64306    0.055    0.000    0.078    0.000 numeric.py:170(ones)
    15100    0.010    0.000    0.076    0.000 expr.py:211(_parse_positional_inputs)
   235032    0.044    0.000    0.075    0.000 frame.py:12256(is_empty)
     3071    0.009    0.000    0.075    0.000 _utils.py:118(prepare_file_arg)
     3445    0.005    0.000    0.074    0.000 _docscrape.py:201(_read_to_next_section)
   702063    0.073    0.000    0.073    0.000 {method 'get' of 'dict' objects}
     3591    0.003    0.000    0.072    0.000 _docscrape.py:212(_read_sections)
   176900    0.060    0.000    0.072    0.000 _at.py:212(__getitem__)
  1000773    0.072    0.000    0.072    0.000 multiarray.py:403(where)
     3020    0.002    0.000    0.069    0.000 frame.py:11364(rechunk)
   247163    0.040    0.000    0.069    0.000 frame.py:830(height)
     6673    0.009    0.000    0.067    0.000 textwrap.py:419(dedent)
   677074    0.067    0.000    0.067    0.000 {method '__exit__' of 'numpy.nditer' objects}
