_idx,x,y,mtl,age_sfs,mass_solar,id,initial_mass_solar,age_Myr,age_bin,halo_id,halo_SFR,redshift,halo_volume,number_of_subhalos,RandomRate
0,16206.676355929976,4082.3114112368717,0.07181299,0.25528166,830725.0,109297314355,968900.9,18.090497329679156,7.257450506305167,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.00021322298016454753
1,16206.663034146515,4082.324362970791,0.0711761,0.25533366,1059658.2,109616770371,1233520.9,17.422244790135988,7.24110411147304,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2,16206.676355929976,4082.3051203946825,0.050372835,0.25478485,1072462.8,109403125190,1270427.8,24.472002625128386,7.388669510563689,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0007535523324067549
3,16206.652672759381,4082.291798611223,0.059246413,0.25585997,1140878.4,109480902042,1293330.1,10.655101532211386,7.027557592451821,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
4,16206.63194998511,4082.328433515737,0.055570647,0.25478485,1350925.0,109611384993,1600555.2,24.472002625128386,7.388669510563689,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0014707878467395785
5,16206.655633155704,4082.33065381298,0.046047144,0.25587654,1384112.0,109643979665,1562732.5,10.441860798107161,7.018777899273386,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
6,16206.667474741002,4082.3058604937637,0.04872121,0.25523207,1311945.2,109084576384,1530774.2,18.727882717539668,7.272488680948882,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.00016952649086900682
7,16206.673395533651,4082.308820890088,0.073985524,0.25545418,985216.2,109468329103,1141762.6,15.873159292467243,7.200663374564099,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
8,16206.6793163263,4082.332504060683,0.080443226,0.25415134,1365844.2,108886880858,1640287.1,32.60156710130113,7.5132384763590485,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.004798989752400535
9,16206.664514344679,4082.3362045560884,0.047412828,0.25479192,1426776.8,109203494182,1687215.2,24.381384408756368,7.387058361824349,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.000479590878322529
10,16206.660073750192,4082.3151117322773,0.04791357,0.2559156,1155877.8,109646654514,1303407.2,9.93934642572647,6.9973578277541995,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
11,16206.682276722624,4082.326583268034,0.07496767,0.25424898,1310939.1,108694196296,1571116.4,31.349159070537258,7.496225895535998,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.003203766556284473
12,16206.634910381434,4082.3117812864125,0.04938841,0.2562296,1902810.6,109356757238,2060546.8,5.898562097574889,6.770746155846045,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0009461219948663521
13,16206.677836128138,4082.3069706423853,0.067044534,0.25536555,1441088.8,109439991963,1675317.0,17.01246085652386,7.230767138957005,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
14,16206.615667805327,4082.3036401965205,0.047549766,0.2560696,977613.06,109654483445,1085074.6,7.957990019739292,6.900803390154065,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.000020682976314064895
15,16206.64527176857,4082.297349354331,0.06662156,0.2558931,1187373.8,109643967270,1343507.8,10.228787095982295,7.0098241392105445,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
16,16206.64527176857,4082.3136315341153,0.05259476,0.2558209,1173063.2,109645148900,1332813.1,11.157549341460182,7.0475688160751035,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
