mtl,Ia,Err_Ia,IIP,Err_IIP,II-other,Err_II-other,Ib,Err_Ib,Ic,Err_Ic,Long-GRB,Err_Long-GRB,Pair-Instab,Err_Pair-Instab,Low-mass,Err_Low-mass
em5,0.0,0.0,0.00015270554186753345,8.209500324766977e-06,8.93038174508122e-05,4.009859760960543e-06,3.303649037894962e-06,7.043403256439841e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.5557642712475712e-06,6.973427620814686e-07
em4,4.703173124093872e-15,4.703173124093872e-15,0.00014049361839743257,7.733919512602877e-06,6.79058833524722e-05,3.416715769971799e-06,7.356804210734029e-06,1.01053475554776e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.049295516023208e-06,1.0174782049841455e-06
001,0.0,0.0,0.0001541647870378237,7.283601597250581e-06,6.916234374871532e-05,3.403256439841371e-06,6.5565167165921666e-06,9.463516746739313e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.818146663122093e-06,8.030244575569302e-07
002,0.0,0.0,0.00012996166516387713,7.186896269153715e-06,5.8174323128067817e-05,3.1184708819684445e-06,9.845880666635606e-06,1.2119441071922867e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.081330146871411e-06,8.870531302329278e-07
003,0.0,0.0,0.0001212060146295875,6.7862342652455485e-06,6.022262159577063e-05,3.1828644995436818e-06,7.467975783620234e-06,1.0356219082046827e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.985603367710215e-06,9.02363645831335e-07
004,0.0,0.0,0.00012625328261304494,6.960568767009156e-06,4.3379695075326756e-05,2.77710036532859e-06,1.2955847449962591e-05,1.3810978768187636e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.5599800754774897e-05,1.4941899599042965e-06
006,0.0,0.0,7.816993671840101e-05,9.08707084853252e-06,2.4176730788731545e-05,2.043306648541837e-06,1.630102472888124e-05,1.6140421292654785e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0238684543010386e-05,1.748356021344179e-06
008,0.0,0.0,0.0001299632382967411,7.41739366964758e-06,2.806996741367639e-05,2.2843014221230715e-06,2.1211624739295707e-05,1.8462350326274335e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.5968075543265267e-05,2.046571036267016e-06
010,0.0,0.0,0.0001178857368373452,6.851969019697049e-06,1.3485239272412348e-05,1.4983598582536034e-06,5.770698070856754e-06,9.754260065720777e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.8968316720429076e-05,2.1897988911331765e-06
014,0.0,0.0,0.00012897996448118132,7.089380119876013e-06,1.1051088448984178e-05,1.3501054464929277e-06,6.008479843892599e-06,1.0621592618882528e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.9286419807222705e-05,1.8911890856370777e-06
020,0.0,0.0,0.00012482308969872038,6.9561186372393985e-06,1.1770952129073633e-05,1.3502207045113834e-06,2.8249023643584e-06,7.549868585852219e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.2783840855959678e-05,1.946555003466922e-06
030,0.0,0.0,0.00012848808091493847,6.9580198258591256e-06,8.730313502906458e-06,1.028877347708954e-06,7.936069963302702e-06,1.4997762259610773e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.3682024764509684e-05,1.5491843826823833e-06
040,0.0,0.0,0.0001320200300375195,7.660578907412636e-06,1.0020042096377683e-05,1.149377666994631e-06,6.1921546164872e-06,1.1498542796613653e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.001082145490124e-06,7.748760267158522e-07
