mtl,Ia,Err_Ia,IIP,Err_IIP,II-other,Err_II-other,Ib,Err_Ib,Ic,Err_Ic,Long-GRB,Err_Long-GRB,Pair-Instab,Err_Pair-Instab,Low-mass,Err_Low-mass
em5,0.0,0.0,1063.6218,60.803215,714.30371,34.366955,0.0,0.0,0.0,0.0,9.7998199,2.1913064,0.0,0.0,0.0,0.0
em4,0.0,0.0,1002.5236,58.668255,727.70367,34.152824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001,0.0,0.0,253.27605,32.973732,343.31137,22.30047,0.0,0.0,0.0,0.0,20.312128,1.7105898,0.0,0.0,0.0,0.0
002,0.0,0.0,264.05453,34.376972,412.95547,24.043198,0.0,0.0,0.0,0.0,25.850855,2.3598492,0.0,0.0,0.0,0.0
003,0.0,0.0,269.71524,37.048237,531.40149,27.332342,9.3707218,1.8377497,0.0,0.0,11.491277,1.1378059,0.0,0.0,0.0,0.0
004,0.0,0.0,505.36868,41.682106,500.56195,26.642225,22.657728,1.5488504,0.0,0.0,0.41711777,0.29494682,0.0,0.0,0.0,0.0
006,0.0,0.0,527.77753,45.09108,464.20801,25.553812,11.148563,3.5254853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008,0.0,0.0,511.41684,46.685757,424.79398,24.607655,6.9539123,2.8389227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010,0.0,0.0,574.97559,45.314423,335.87323,22.195127,48.432705,8.0721178,0.0,0.0,0.0,0.0,0.0,0.0,1.8913571,1.3373914
014,0.0,0.0,597.7887,46.822426,283.87967,20.759338,237.80409,17.531151,2.6179278,1.8511546,0.0,0.0,0.0,0.0,0.0,0.0
020,0.0,0.0,597.72693,46.532978,202.67061,17.98411,164.94215,15.184155,2.4828093,1.7556113,0.0,0.0,0.0,0.0,7.0472126,2.8770125
030,0.0,0.0,897.65491,66.35656,83.634338,11.176108,538.94086,29.941158,4.6730757,2.3365378,0.0,0.0,0.0,0.0,32.555885,6.645442
040,0.0,0.0,869.22894,70.972244,88.658524,11.259644,562.18152,30.761204,2.1902666,1.5487524,0.0,0.0,0.0,0.0,137.10364,14.451993
