mtl,Ia,Err_Ia,IIP,Err_IIP,II-other,Err_II-other,Ib,Err_Ib,Ic,Err_Ic,Long-GRB,Err_Long-GRB,Pair-Instab,Err_Pair-Instab,Low-mass,Err_Low-mass
em5,3.530575118329347e-07,1.3344319548484193e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
em4,2.5319958784101457e-07,9.570045569959827e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001,4.525665115003859e-08,2.6128939374300894e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002,4.893780711682263e-08,3.4604256051467574e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003,4.8775129240562065e-08,3.448922569639787e-08,1.463465781526201e-07,1.463465781526201e-07,0.0,0.0,1.2423135659066923e-07,1.2423135659066923e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004,2.7667961475766154e-07,1.0457506985436308e-07,3.781905747951628e-07,2.1834844165957495e-07,0.0,0.0,1.2423135659066923e-07,1.2423135659066923e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
006,2.1571986610827193e-07,7.626849172954226e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008,2.4099036390292075e-07,1.0777416469262863e-07,8.588881489262703e-08,6.073256125483142e-08,1.4583666779832876e-07,1.4583666779832876e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010,1.5178779519788392e-07,7.58938986848511e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
014,0.0,0.0,0.0,0.0,1.4595519260900702e-07,1.4595519260900702e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
020,3.19764862447455e-07,3.19764862447455e-07,1.1510153641374771e-07,8.138908107067514e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
