,Unnamed: 0,id,sfr_IIP,sfrd_IIP,snr_IIP,snrs_IIP,snrd_IIP,mass,z,halo_volume,sfr_II-Other,sfrd_II-Other,snr_II-Other,snrs_II-Other,snrd_II-Other,sfr_Ib,sfrd_Ib,snr_Ib,snrs_Ib,snrd_Ib,sfr_Ic,sfrd_Ic,snr_Ic,snrs_Ic,snrd_Ic,sfr_total,sfrd_total,snr_total,snrs_total,snrd_total,sfr_IIP_ratio,snr_IIP_ratio,snrs_IIP_ratio,sfr_II-Other_ratio,snr_II-Other_ratio,snrs_II-Other_ratio,sfr_Ib_ratio,snr_Ib_ratio,snrs_Ib_ratio,sfr_Ic_ratio,snr_Ic_ratio,snrs_Ic_ratio
0,0,52597.0,11.721052,1.6878934970215978e+16,0.0727868266744914,5.7601077966590935e-08,104816881123564.9,4724547668.25,2.8957850057274284,6.944189322775749e-16,11.721052,1.6878934970215978e+16,0.0315156506996707,2.4143203013448096e-08,45384204310652.695,11.721052,1.6878934970215978e+16,0.0323686855554243,2.4184596607830484e-08,46612619631870.625,11.721052,1.6878934970215978e+16,0.0109165126380992,7.576217592416125e-09,15720355725750.324,46.884208,6.751573988086391e+16,0.14758767556768562,1.1350509518028563e-07,212534060791838.53,0.25,0.4931768617841699,0.5074757029638217,0.25,0.21353849891901858,0.21270589637496254,0.25,0.21931835047147685,0.2130705812758178,0.25,0.07396628882533451,0.06674781938539809
1,1,20925.0,14.855804,1.4053520573660622e+16,0.0465185450596662,3.8832491950333314e-08,44006324400401.24,1527309598.95,2.8957850057274284,1.0570877184926197e-15,14.855804,1.4053520573660622e+16,0.0254860293165784,1.9938580895024023e-08,24109663626516.098,14.855804,1.4053520573660622e+16,0.0127765122777123,9.981800210260513e-09,12086520403369.52,14.855804,1.4053520573660622e+16,0.0083358954211262,5.852569367712699e-09,7885717784152.287,59.423216,5.621408229464249e+16,0.0931169820750831,7.460544242333055e-08,88088226214439.14,0.25,0.4995710129668599,0.520504814246496,0.25,0.2736990476777719,0.2672537049225895,0.25,0.13720926079208842,0.13379453141797887,0.25,0.08952067856327979,0.0784469494129357
2,2,30961.0,98.81291,4.767106190009583e+16,0.209887684454726,1.6828922146667808e-07,101257708104224.72,7552909712.52,2.8957850057274284,2.0728069831354306e-15,98.81291,4.767106190009583e+16,0.1308721316496303,1.0015825521571315e-07,63137635445277.51,98.81291,4.767106190009583e+16,0.1192067314993132,9.178938422120077e-08,57509807941207.93,98.81291,4.767106190009583e+16,0.073663984857244,5.394040586903717e-08,35538275129610.11,395.25164,1.9068424760038333e+17,0.5336305324609135,4.141772667726292e-07,257443426620320.25,0.25,0.39332023129710914,0.40632172494166313,0.25,0.24524858247164896,0.24182460808670364,0.25,0.22338813888623335,0.221618595671477,0.25,0.13804304734500852,0.13023507130015616
3,3,129317.0,4.336176,7417938051235958.0,0.0072571565690234,5.619934254880379e-09,12414887646888.844,217185494.73,2.8957850057274284,5.845527382474591e-16,4.336176,7417938051235958.0,0.0053452969733607,4.143290379903784e-09,9144251020680.264,4.336176,7417938051235958.0,0.0019481914315022,1.645111438736775e-09,3332789847744.2393,4.336176,7417938051235958.0,0.0011060957762734,7.81376392598463e-10,1892208698892.7507,17.344704,2.967175220494383e+16,0.0156567407501597,1.2189712466119401e-08,26784137214206.098,0.25,0.4635164294298848,0.46103911560675936,0.25,0.34140547248354847,0.33990058349775015,0.25,0.12443148050990933,0.1349590027910229,0.25,0.07064661757665737,0.06410129810446746
4,4,21994.0,4.4631395,2794118786069240.0,0.1853483913336423,1.457803089121608e-07,116036127078941.44,16331440776.9,2.8957850057274284,1.5973334856957653e-15,4.4631395,2794118786069240.0,0.0462550154794261,3.477004287834469e-08,28957644658202.63,4.4631395,2794118786069240.0,0.0443303935662135,3.242821235092212e-08,27752747915945.793,4.4631395,2794118786069240.0,0.0118628561204464,8.340076604872109e-09,7426662138294.355,17.852558,1.117647514427696e+16,0.2877966564997283,2.2131864074629973e-07,180173181791384.2,0.25,0.6440255199205808,0.6586896992525386,0.25,0.1607211704332978,0.15710399612566758,0.25,0.1540337337666581,0.14652273410668096,0.25,0.04121957587946335,0.03768357051511283
5,5,61313.0,40.142708,3.7313277418671784e+16,0.1504802019797704,1.2260135937389644e-07,139873710624827.28,5968050719.19,2.8957850057274284,1.0758290554212306e-15,40.142708,3.7313277418671784e+16,0.0662529066024783,5.1230160787305135e-08,61583117009735.01,40.142708,3.7313277418671784e+16,0.0877561045243284,6.84319937782772e-08,81570677127667.22,40.142708,3.7313277418671784e+16,0.0331446127098924,2.5068746335992072e-08,30808437960355.168,160.570832,1.4925310967468714e+17,0.3376338258164695,2.6733226027547083e-07,313835942722584.7,0.25,0.44569053949460685,0.45861041704268185,0.25,0.19622710029797774,0.19163478711665902,0.25,0.25991502572977015,0.2559810540926183,0.25,0.09816733447764531,0.09377374174804097
6,6,61993.0,21.984505,4.631117532760444e+16,0.1174580166396209,9.360881959504573e-08,247429669316191.84,4678761093.67,2.8957850057274284,4.747127414599607e-16,21.984505,4.631117532760444e+16,0.0545263802264885,4.2307966000906246e-08,114861842677309.94,21.984505,4.631117532760444e+16,0.0450544281568651,3.4699441295965644e-08,94908824267707.56,21.984505,4.631117532760444e+16,0.0237244176260155,1.685894877552289e-08,49976365818730.766,87.93802,1.8524470131041776e+17,0.24076324264899002,1.874751756674405e-07,507176702079940.06,0.25,0.4878569309305389,0.4993131451232619,0.25,0.22647302647432271,0.22567236355577944,0.25,0.18713167201585743,0.18508819192957301,0.25,0.09853837057928087,0.08992629939138574
7,7,60246.0,33.73324,3.2965032281889988e+16,0.1099873686934735,8.920455379238422e-08,107482624247789.2,4054883013.38,2.8957850057274284,1.0233037150256954e-15,33.73324,3.2965032281889988e+16,0.0483183291137274,3.8778404380812495e-08,47217974882964.445,33.73324,3.2965032281889988e+16,0.0538784273409539,4.2800270034864815e-08,52651452887182.26,33.73324,3.2965032281889988e+16,0.0271553970564169,2.0875448818778106e-08,26536986681158.55,134.93296,1.3186012912755995e+17,0.23933952220457172,1.9165867702683964e-07,233889038699094.47,0.25,0.45954536751963393,0.4654344649362895,0.25,0.20188194857524644,0.20233054397731243,0.25,0.22511295604117632,0.22331506560942774,0.25,0.1134597278639432,0.10891992547697037
8,8,23284.0,110.79817,3.5923422770034984e+16,0.330863173868657,2.60996640291017e-07,107273772427101.98,15794014354.01,2.8957850057274284,3.084287672399099e-15,110.79817,3.5923422770034984e+16,0.1474355137562562,1.1231567401739417e-07,47802127886979.56,110.79817,3.5923422770034984e+16,0.1895842314626465,1.4071260683865952e-07,61467752557328.52,110.79817,3.5923422770034984e+16,0.0893779609800289,6.543750338272824e-08,28978477520064.355,443.19268,1.4369369108013994e+17,0.7572608800675886,5.79462424529799e-07,245522130391474.44,0.25,0.43692099060910966,0.4504116733760624,0.25,0.19469580119218224,0.19382736354049532,0.25,0.25035524276089016,0.24283301363818344,0.25,0.11802796543781788,0.11292794944525882
9,9,82833.0,7.2395315,8540559085368469.0,0.0223864867591297,1.7642811262290542e-08,26409597482954.09,841788345.88,2.8957850057274284,8.476648223653922e-16,7.2395315,8540559085368469.0,0.0124836193659335,9.497856330075229e-09,14727070224641.65,7.2395315,8540559085368469.0,0.0092087050042778,7.041489038007211e-09,10863615855357.986,7.2395315,8540559085368469.0,0.0047022266952231,3.1167054697909855e-09,5547271245846.55,28.958126,3.4162236341473876e+16,0.0487810378245641,3.7298862100163966e-08,57547554808800.27,0.25,0.4589178040787152,0.4730120510087353,0.25,0.255911311498323,0.25464198625066037,0.25,0.18877632405845782,0.18878562619679104,0.25,0.09639456036450407,0.08356033654381334
