,Unnamed: 0,id,sfr_IIP,sfrd_IIP,snr_IIP,snrs_IIP,snrd_IIP,mass,z,halo_volume,sfr_II-Other,sfrd_II-Other,snr_II-Other,snrs_II-Other,snrd_II-Other,sfr_Ib,sfrd_Ib,snr_Ib,snrs_Ib,snrd_Ib,sfr_Ic,sfrd_Ic,snr_Ic,snrs_Ic,snrd_Ic,sfr_total,sfrd_total,snr_total,snrs_total,snrd_total,sfr_IIP_ratio,snr_IIP_ratio,snrs_IIP_ratio,sfr_II-Other_ratio,snr_II-Other_ratio,snrs_II-Other_ratio,sfr_Ib_ratio,snr_Ib_ratio,snrs_Ib_ratio,sfr_Ic_ratio,snr_Ic_ratio,snrs_Ic_ratio
0,0,289095.0,1.363581,2714869696213563.5,0.0002784877935497,2.2536301241169003e-10,554465097030.2136,5213663.7,0.0095216669679447,5.022638846725463e-16,1.363581,2714869696213563.5,6.91760700082241e-05,5.86630134961351e-11,137728536968.81635,1.363581,2714869696213563.5,1.412483785150531e-05,1.1901485459336163e-11,28122344214.961975,1.363581,2714869696213563.5,0.0,0.0,0.0,5.454324,1.0859478784854254e+16,0.00036178870140942944,2.959275113671613e-10,720315978213.992,0.25,0.76975259997006,0.761548026983132,0.25,0.1912057223974467,0.19823440282762728,0.25,0.03904167763249328,0.0402175701892408,0.25,0.0,0.0
1,1,280905.0,0.9994286,1452384836876616.0,0.0003073878749922,2.4488450475598383e-10,446700733477.6444,35000164.54,0.0095216669679447,6.881293267625213e-16,0.9994286,1452384836876616.0,5.716640416020037e-05,4.760339030770361e-11,83075087686.13918,0.9994286,1452384836876616.0,0.0002287292224589,1.9143543962873055e-10,332392783686.5039,0.9994286,1452384836876616.0,0.0,0.0,0.0,3.9977144,5809539347506464.0,0.0005932835016113004,4.83923334692418e-10,862168604850.2875,0.25,0.5181129664947102,0.5060398769809945,0.25,0.09635596473682813,0.09836969390608194,0.25,0.3855310687684617,0.39559042911292347,0.25,0.0,0.0
2,2,453485.0,6.3419194,8181970303072693.0,0.006955828677523,5.772201938812011e-09,8973999838716.818,141780062.9,0.0095216669679447,7.751090709310358e-16,6.3419194,8181970303072693.0,0.0036107952558339,2.958758007192228e-09,4658435039983.1455,6.3419194,8181970303072693.0,0.0042793807256247,3.399045605411607e-09,5521004573568.622,6.3419194,8181970303072693.0,0.0026464521376279,1.961219505705552e-09,3414296435015.3584,25.3676776,3.2727881212290772e+16,0.0174924567966095,1.4091225057121396e-08,22567735887283.945,0.25,0.39764732641050304,0.40963095227088625,0.25,0.20642013285027908,0.20997166642349072,0.25,0.2446414917802831,0.2412171824403446,0.25,0.1512910489589348,0.13918019886527855
3,3,421352.0,0.16869926,391348218370167.25,0.0,0.0,0.0,1058441.2,0.0095216669679447,4.310720020716467e-16,0.16869926,391348218370167.25,4.0337361392500394e-07,3.8110158025311556e-13,935745332.534867,0.16869926,391348218370167.25,0.0,0.0,0.0,0.16869926,391348218370167.25,0.0,0.0,0.0,0.67479704,1565392873480669.0,4.0337361392500394e-07,3.8110158025311556e-13,935745332.534867,0.25,0.0,0.0,0.25,1.0,1.0,0.25,0.0,0.0,0.25,0.0,0.0
4,4,486579.0,2.7521312,3521611935266339.0,0.0007572365824005,5.054974696522951e-10,968955762865.4932,18656383.8,0.0095216669679447,7.814975785490279e-16,2.7521312,3521611935266339.0,9.659304914254428e-05,6.830643831372167e-11,123599934016.28236,2.7521312,3521611935266339.0,0.0008523019241534,4.89625293723742e-10,1090600850914.8784,2.7521312,3521611935266339.0,0.000839765040368,4.780808890721989e-10,1074558723428.39,11.0085248,1.4086447741065356e+16,0.002545896596064444,1.5415100907619576e-09,3257715271225.044,0.25,0.29743414699994836,0.32792355540302126,0.25,0.03794068042349479,0.044311379291690704,0.25,0.33477476087242697,0.31762704419386817,0.25,0.32985041170413,0.3101380211114199
5,5,373722.0,0.17850058,1135125073566735.5,0.000660028356901,5.119776775848693e-10,4197267802622.659,19816886.0,0.0095216669679447,1.572519047959394e-16,0.17850058,1135125073566735.5,0.0006384573671554,4.79197809601808e-10,4060093058866.169,0.17850058,1135125073566735.5,0.0003814151498566,3.061186139669446e-10,2425504163854.986,0.17850058,1135125073566735.5,0.0002423061795522,2.0811960936855203e-10,1540879138263.2178,0.71400232,4540500294266942.0,0.0019222070534652,1.505413710522174e-09,12223744163607.031,0.25,0.3433700629238427,0.3400910155171117,0.25,0.3321480721883943,0.31831635799011787,0.25,0.19842563222781623,0.2033451747033465,0.25,0.12605623265994678,0.13824745178942394
6,6,180671.0,3.1115077,5529315611038781.0,0.0020187530466979,1.6814272786360943e-09,3587432142925.1377,53950097.1,0.0095216669679447,5.627292632361508e-16,3.1115077,5529315611038781.0,0.0016758965995961,1.29805789824681e-09,2978157897739.9053,3.1115077,5529315611038781.0,0.000770463406059,5.556021788055221e-10,1369154683067.7112,3.1115077,5529315611038781.0,0.0007669902651727,5.439875983442029e-10,1362982725941.7288,12.4460308,2.2117262444155124e+16,0.0052321033175257,4.079074954032629e-09,9297727449674.482,0.25,0.3858396755919918,0.41220798773844847,0.25,0.32031030312081904,0.31822359551484397,0.25,0.14725691740035396,0.13620788660827282,0.25,0.1465931038868352,0.13336053013843477
7,7,202219.0,0.25559464,748034251462222.0,5.055004537750453e-05,2.6556651323155563e-11,147941933975.38757,3851512.4,0.0095216669679447,3.416884180107738e-16,0.25559464,748034251462222.0,0.0001913432019282,8.619948778328906e-11,559993233139.7097,0.25559464,748034251462222.0,0.0001044616004369,4.7083524955627195e-11,305721806565.9326,0.25559464,748034251462222.0,1.0027409916354926e-05,4.512325776132598e-12,29346648548.20672,1.02237856,2992137005848888.0,0.00035638225765895947,1.643519898382044e-10,1043003622229.2366,0.25,0.1418422053599494,0.16158399633189194,0.25,0.5369043991839407,0.5244809501129117,0.25,0.29311672562797636,0.2864797986442292,0.25,0.02813666982813345,0.02745525491096723
8,8,412610.0,2.618799,4212937203730465.0,0.0004993461113343,3.5700956535925417e-10,803312438250.7722,8200294.4,0.0095216669679447,6.216088380527273e-16,2.618799,4212937203730465.0,0.0002882204819715,2.1508434640537538e-10,463668571499.7742,2.618799,4212937203730465.0,0.0003157348482826,2.2083585436164926e-10,507931723222.7853,2.618799,4212937203730465.0,0.0003129620513423,2.629755305186177e-10,503471045107.2856,10.475196,1.685174881492186e+16,0.0014162634929307,1.0559052966448966e-09,2278383778080.617,0.25,0.35257994986582186,0.33810756181793955,0.25,0.2035076688837612,0.20369662609781258,0.25,0.22293510343138487,0.20914361833712525,0.25,0.22097727781903204,0.24905219374712254
9,9,498679.0,0.5514343,3565165500331464.0,2.745976968282606e-06,2.1188055128263084e-12,17753451956.154945,10131078.14,0.0095216669679447,1.546728475715171e-16,0.5514343,3565165500331464.0,1.2289050599466377e-06,1.0470873739151014e-12,7945189341.51271,0.5514343,3565165500331464.0,5.9109627738656126e-05,4.4196096825768727e-11,382159045150.60547,0.5514343,3565165500331464.0,0.0004842950353041,3.6210599002879775e-10,3131092773605.197,2.2057372,1.4260662001325856e+16,0.0005473795450709854,4.094679797413079e-10,3538950460053.4697,0.25,0.005016586741337771,0.005174532851542919,0.25,0.0022450693874344,0.0025571898798451257,0.25,0.10798654840306585,0.1079354162288606,0.25,0.884751795468162,0.8843328610397514
