,Unnamed: 0,id,sfr_IIP,sfrd_IIP,snr_IIP,snrs_IIP,snrd_IIP,mass,z,halo_volume,sfr_II-Other,sfrd_II-Other,snr_II-Other,snrs_II-Other,snrd_II-Other,sfr_Ib,sfrd_Ib,snr_Ib,snrs_Ib,snrd_Ib,sfr_Ic,sfrd_Ic,snr_Ic,snrs_Ic,snrd_Ic,sfr_total,sfrd_total,snr_total,snrs_total,snrd_total,sfr_IIP_ratio,snr_IIP_ratio,snrs_IIP_ratio,sfr_II-Other_ratio,snr_II-Other_ratio,snrs_II-Other_ratio,sfr_Ib_ratio,snr_Ib_ratio,snrs_Ib_ratio,sfr_Ic_ratio,snr_Ic_ratio,snrs_Ic_ratio
0,0,2588.0,0.66091335,499527324509599.3,0.0121246419506103,9.07216935602548e-09,9163969761278.469,337152373.05,1.4955121664955555,1.3230774725863856e-15,0.66091335,499527324509599.3,0.0064940050047805,4.751435349905331e-09,4908257558104.939,0.66091335,499527324509599.3,0.0044137822220291,3.222595310167306e-09,3335996805539.262,0.66091335,499527324509599.3,0.0018911902051282,1.3235915627571172e-09,1429387352073.402,2.6436534,1998109298038397.2,0.0249236193825481,1.8369791578855237e-08,18837611476996.07,0.25,0.48647195916898656,0.4938634887108957,0.25,0.26055625810622446,0.25865483173878395,0.25,0.1770923457898614,0.1754290622369778,0.25,0.0758794369349277,0.07205261731334245
1,1,237092.0,9.20766,9205842174599006.0,0.0171517668065789,1.3251485401801742e-08,17148380613195.045,849295422.25,1.4955121664955555,1.0001974643239062e-15,9.20766,9205842174599006.0,0.007657798316729,5.4922212170948825e-09,7656286473296.937,9.20766,9205842174599006.0,0.0097228610990974,7.099034942099874e-09,9720941559944.557,9.20766,9205842174599006.0,0.0033476465852756,2.275127356895111e-09,3346985675012.195,36.83064,3.6823368698396024e+16,0.0378800728076809,2.8117868917891613e-08,37872594321448.734,0.25,0.4527912840521535,0.4712834191132359,0.25,0.2021590178986202,0.1953285020686664,0.25,0.2566748260612082,0.25247414598987283,0.25,0.08837487198801797,0.08091393282822477
2,2,133191.0,34.23071,2.120410366634712e+16,0.1175515974630902,9.14359319429264e-08,72816960523228.2,4801134407.87,1.4955121664955555,1.6143436449203612e-15,34.23071,2.120410366634712e+16,0.0413633319549943,3.05520902100461e-08,25622383490124.17,34.23071,2.120410366634712e+16,0.0622533955719607,4.501426939958382e-08,38562666485444.49,34.23071,2.120410366634712e+16,0.0299398650777623,2.0616971297896424e-08,18546153523117.67,136.92284,8.481641466538848e+16,0.2511081900678075,1.8761926285045274e-07,155548164021914.56,0.25,0.46813127612981237,0.4873483167653633,0.25,0.16472314958673726,0.1628409031454223,0.25,0.24791463613811332,0.2399234956778597,0.25,0.11923093814533707,0.10988728441135474
3,3,119470.0,38.861725,3.242057303978377e+16,0.1337791809709525,1.0637674384303975e-07,111605897779144.36,8241515862.64,1.4955121664955555,1.1986748337949547e-15,38.861725,3.242057303978377e+16,0.0405992639731961,3.083275577850765e-08,33870122929552.56,38.861725,3.242057303978377e+16,0.0724624648504767,5.4396786034909184e-08,60452144991701.875,38.861725,3.242057303978377e+16,0.0304014004391463,2.078962173915541e-08,25362508315033.85,155.4469,1.2968229215913507e+17,0.2772423102337716,2.12395907395612e-07,231290674015432.62,0.25,0.4825352265249466,0.500841777732095,0.25,0.14643963953035402,0.14516643073106897,0.25,0.26136870952119867,0.25611033047632537,0.25,0.10965642442350067,0.0978814610605106
4,4,137020.0,0.29821426,959748244232329.2,4.2594497968950335e-05,3.727019469126337e-11,137082628576.03654,4453769.84,1.4955121664955555,3.1072133946807243e-16,0.29821426,959748244232329.2,0.0002437114290756,2.125272800248314e-10,784340816413.8821,0.29821426,959748244232329.2,5.72093410150184e-05,4.988910731044593e-11,184117837265.235,0.29821426,959748244232329.2,9.272683342783665e-06,8.086195123668299e-12,29842441329.126865,1.19285704,3838992976929317.0,0.00035278795140235243,3.07772777150209e-10,1135383723584.2805,0.25,0.1207368273197391,0.12109646290475388,0.25,0.6908156248160773,0.6905330679103796,0.25,0.16216353417855678,0.16209720616744955,0.25,0.026284013685626776,0.026273263017416965
5,5,216341.0,13.320032,1.8720076890914108e+16,0.0407158349008458,3.102714644536902e-08,57222352019995.04,2869983708.35,1.4955121664955555,7.115372483574012e-16,13.320032,1.8720076890914108e+16,0.0114928940327566,7.932749919098161e-09,16152202937074.943,13.320032,1.8720076890914108e+16,0.023462844496443,1.7102726371168166e-08,32974864704001.88,13.320032,1.8720076890914108e+16,0.0091909701805267,6.025395563977951e-09,12917061196366.451,53.280128,7.488030756365643e+16,0.0848625436105721,6.20880182996133e-08,119266480857438.31,0.25,0.4797857001280534,0.49972840646392913,0.25,0.13542952572216824,0.12776619606085204,0.25,0.27648057079354404,0.27545936944930144,0.25,0.10830420335623425,0.09704602802591751
6,6,174585.0,10.229747,1.350162660764228e+16,0.0175368673328369,1.376400425656558e-08,23145854398522.664,376666668.75,1.4955121664955555,7.576677460632551e-16,10.229747,1.350162660764228e+16,0.0118635036788212,9.189488944976256e-09,15657923595748.324,10.229747,1.350162660764228e+16,0.0038684599050939,2.8907207516570144e-09,5105747110384.409,10.229747,1.350162660764228e+16,0.0043976359859319,3.151843128812988e-09,5804174730654.025,40.918988,5.400650643056912e+16,0.0376664669026839,2.899605708201184e-08,49713699835309.414,0.25,0.46558301786428824,0.474685375933554,0.25,0.3149619450497459,0.3169220187070572,0.25,0.10270302003871393,0.09969358052651643,0.25,0.11675201704725188,0.10869902483287232
7,7,98286.0,14.865337,5690016460810942.0,0.0402391077152939,3.1283354891749355e-08,15402354165826.646,1091072002.9,1.4955121664955555,2.612529700464415e-15,14.865337,5690016460810942.0,0.0205195643710288,1.5583115842699412e-08,7854289414348.548,14.865337,5690016460810942.0,0.0129300905690285,9.333026605515492e-09,4949260698062.117,14.865337,5690016460810942.0,0.0033729140478173,2.3495316913337627e-09,1291052900649.4404,59.461348,2.276006584324377e+16,0.07706167670316849,5.854902903129802e-08,29496957178886.754,0.25,0.5221675602814831,0.5343103960789255,0.25,0.26627456407505223,0.2661549832768241,0.25,0.16778885591645662,0.15940531824236437,0.25,0.04376901972700807,0.04012930240188603
8,8,201441.0,2.961854,2420427901379497.0,0.0101835077088917,7.742450609099791e-09,8321965293533.946,321227433.1,1.4955121664955555,1.2236902401893165e-15,2.961854,2420427901379497.0,0.0041302418279943,2.884892204837095e-09,3375234754961.6255,2.961854,2420427901379497.0,0.0025204195486909,1.6882758195046184e-09,2059687546662.9424,2.961854,2420427901379497.0,0.0010747655589084,6.778237542738904e-10,878298709600.0194,11.847416,9681711605517988.0,0.0179089346444853,1.2993442387715395e-08,14635186304758.535,0.25,0.5686272193766427,0.5958737013695358,0.25,0.230624652442189,0.22202678233788192,0.25,0.14073531445194107,0.12993291301316678,0.25,0.06001281372922719,0.05216660327941551
9,9,122080.0,36.899982,6403020929808919.0,0.0749051536369869,6.019542447366696e-08,12997818440349.91,2216199782.58,1.4955121664955555,5.762901980878139e-15,36.899982,6403020929808919.0,0.0493615713908107,3.803598385230831e-08,8565401867773.761,36.899982,6403020929808919.0,0.0281659229941762,2.17168717158212e-08,4887454807948.059,36.899982,6403020929808919.0,0.0124180707785393,8.516729496009667e-09,2154829427906.9268,147.599928,2.5612083719235676e+16,0.16485071880051308,1.2846500953780614e-07,28605504543978.656,0.25,0.45438172294310775,0.4685744755730701,0.25,0.2994319451560503,0.2960804968540064,0.25,0.1708571439610158,0.1690489246367908,0.25,0.07532918793982626,0.06629610293613271
